Section,Question,Correct Answer
Spring Boot,"In Spring Boot, @Value default trap","${foo:localhost} silently ships localhost if foo is unset. Required prod keys should fail startup, not default."
Spring Boot,"In Spring Boot, JMX door",HTTP lockdown does not close JMX. Remote JMX is another admin API for the same operations.
Spring Boot,"In Spring Boot, OSIV / streaming",An open persistence context or ResultSet pins a connection through view rendering or stream consumption.
Spring Boot,"In Spring Boot, OSIV and pools",The persistence context (and often a connection) stays open through rendering. Slow views hold pool slots and amplify saturation.
Spring Boot,"In Spring Boot, REQUIRES_NEW via this","The inner propagation is ignored. No suspend, no new transaction — the 'audit in a separate tx' pattern silently fails."
Spring Boot,"In Spring Boot, batch fetch size",Mitigates N+1 by IN-clause grouping. It does not make the view a legitimate place to load a graph.
Spring Boot,"In Spring Boot, checkout timeout",Must be finite and shorter than the client/HTTP timeout so you fail fast instead of deadlocking the servlet pool.
Spring Boot,"In Spring Boot, cluster math","instances × DataSources × maxPoolSize must stay under the database's max_connections, including idle sockets."
Spring Boot,"In Spring Boot, context propagation","SecurityContext, MDC, and tenant ThreadLocals do not hop threads. Use a TaskDecorator (and restore/clear in finally)."
Spring Boot,"In Spring Boot, debug with origins",Read the Environment/configprops origin for the key and the bound object. Do not argue from a memorized precedence list while three overlays exist.
Spring Boot,"In Spring Boot, default @Async executor","Often SimpleAsyncTaskExecutor: new thread per task, no bound. Production code declares a named, bounded ThreadPoolTaskExecutor."
Spring Boot,"In Spring Boot, default scope","Singleton: one instance per Spring container, shared across threads and requests. Mutable fields are shared mutable state."
Spring Boot,"In Spring Boot, don't block the common pool","JDBC/HTTP inside @Async needs a dedicated pool sized to the dependency, not ForkJoinPool.commonPool()."
Spring Boot,"In Spring Boot, don't do IO in a transaction","HTTP, queues, and sleep hold a checked-out connection. Do database work, commit, then call the world."
Spring Boot,"In Spring Boot, entityManager and threads",Never share a raw EM as a singleton field. @PersistenceContext injects a proxy to the thread-bound persistence context.
Spring Boot,"In Spring Boot, env and configprops","They dump the Environment, including secrets and origins. Public exposure is a credential leak. Sanitize is not a substitute for not exposing them."
Spring Boot,"In Spring Boot, exhaustion symptom","Threads blocked in connection checkout, idle CPU, latency spike, then timeout. Not necessarily high DB CPU."
Spring Boot,"In Spring Boot, fixes that actually work","Split into another bean, inject the proxy (self-inject / AopContext with exposeProxy), or use AspectJ weaving so the call is advised in-body."
Spring Boot,"In Spring Boot, health checks",Do not let probes consume the last business connections. Reserve capacity or use a cheap check so incidents do not restart healthy-but-busy nodes.
Spring Boot,"In Spring Boot, health details","Probes want a boolean. Details leak topology. Keep show-details for authenticated operators, not the internet."
Spring Boot,"In Spring Boot, heapdump / threaddump","Memory and stack snapshots. Secrets, tokens, PII, lock graphs. Admin-only on a private port."
Spring Boot,"In Spring Boot, hidden high-precedence sources","Command line, SPRING_APPLICATION_JSON, system properties, test inlined properties, and accidental local config files beat what is in the image."
Spring Boot,"In Spring Boot, include=*","Enables the full attack surface (shutdown, mappings, dumps, env). Production should whitelist the few ids probes need."
Spring Boot,"In Spring Boot, join fetch pitfall",Collection join fetch duplicates roots and fights pagination. Prefer two queries or a graph designed for the use case; DISTINCT is not always enough.
Spring Boot,"In Spring Boot, leaks vs hold time",Unclosed connections and never-ending transactions permanently shrink the pool. Slow but closed transactions temporarily shrink it. Both page the same.
Spring Boot,"In Spring Boot, library application.properties",Extra application.properties on the classpath collide. Libraries should not override app keys from a generic file.
Spring Boot,"In Spring Boot, liveness vs readiness",Do not kill pods because a dependency is down. Split groups so liveness is process health and readiness is dependency health.
Spring Boot,"In Spring Boot, management port",Bind actuators to a separate port that is not on the public load balancer. Still authenticate. Network policy is the real gate.
Spring Boot,"In Spring Boot, n+1 shape",1 query for roots + 1 query per entity per touched association. List endpoints multiply this by page size.
Spring Boot,"In Spring Boot, named pools","@Async(""name"") plus multiple executors isolate bulk work from latency-sensitive fan-out. One shared pool is a noisy neighbor."
Spring Boot,"In Spring Boot, non-public @Transactional",Default Spring AOP does not advise private/package/protected methods. The annotation is a comment.
Spring Boot,"In Spring Boot, objectProvider",Lookup API so a singleton can obtain the current scoped/prototype instance on each use instead of capturing it once.
Spring Boot,"In Spring Boot, open Session in View","Spring Boot keeps the EntityManager bound to the web request until after view rendering, so lazy loads during JSON/HTML succeed."
Spring Boot,"In Spring Boot, packaged files vs runtime overlay","application.properties in the jar are defaults. Env vars, CLI args, and external config locations override them so one artifact can run everywhere."
Spring Boot,"In Spring Boot, profile files",application-{profile} overrides the same keys in application.properties when that profile is active. Conflicting spring.profiles.active sources are a prod incident waiting.
Spring Boot,"In Spring Boot, prototype destruction","Spring does not manage the full lifecycle of prototypes it hands out. If it holds resources, you close them."
Spring Boot,"In Spring Boot, prototype injected into singleton","Only one prototype is created at wiring time. Use ObjectProvider, @Lookup, or a scoped proxy for per-call instances."
Spring Boot,"In Spring Boot, readOnly outer + write inner via this",You remain in the outer read-only transaction. The inner readOnly=false never applies.
Spring Boot,"In Spring Boot, relaxed binding","SPRING_DATASOURCE_URL, spring.datasource.url, and spring.datasource.url in YAML are one property. Grep all forms when debugging."
Spring Boot,"In Spring Boot, request scope at startup",Cannot inject a request-scoped target into a singleton at context refresh unless a scoped proxy defers lookup until a request exists.
Spring Boot,"In Spring Boot, rollback defaults","RuntimeException and Error roll back. Checked exceptions commit unless rollbackFor is set — independent of, and compounding, the self-call bug."
Spring Boot,"In Spring Boot, security test",Unauthenticated GET/POST every enabled endpoint id on both ports. Broad matcher permitAll on /actuator/health is a classic sibling leak.
Spring Boot,"In Spring Boot, session scope in APIs",Ties you to HTTP session stickiness/replication and memory. Prefer stateless services.
Spring Boot,"In Spring Boot, shutdown","Make the executor a Spring bean with a wait/timeout on destroy, or deploys kill in-flight async work."
Spring Boot,"In Spring Boot, singleton + request fields",Cross-request leaks and races. Keep singletons stateless; pass request data as method arguments or true request-scoped beans.
Spring Boot,"In Spring Boot, size formula",Needed connections ≈ concurrent requests that need the DB × hold time. Inbound threads should not wildly exceed what the pool and DB can serve.
Spring Boot,"In Spring Boot, team rule","Transactional methods are public entry points on a boundary component. Different propagation means a different bean, not a private helper."
Spring Boot,"In Spring Boot, turning OSIV off","Exposes LazyInitializationException at the true missing-fetch sites. Fix those with explicit fetches/DTOs, do not turn OSIV back on to silence them."
Spring Boot,"In Spring Boot, void @Async exceptions",Do not reach the caller. AsyncUncaughtExceptionHandler or a Future you actually observe. Otherwise jobs vanish.
Spring Boot,"In Spring Boot, what should be true of Actuator in production?","Health on a separate port or authenticated path is fine. env, heapdump, beans, and similar are data leaks. Disable or lock them down; don't rely on 'nobody will guess /actuator'."
Spring Boot,"In Spring Boot, where to fetch","Inside the transactional service/repository with join fetch, entity graphs, or DTO/projection queries — not in the serializer."
Spring Boot,"In Spring Boot, why OSIV hides N+1","Serialization would have thrown LazyInitializationException. OSIV lets each getter hit the database instead, turning a bug into silent query storms."
Spring Boot,"In Spring Boot, why not HTTP inside @Transactional?","You hold a connection and possibly row locks for the whole round trip. If HTTP fails after SQL succeeded (or the opposite), you have a distributed consistency bug. Do the DB work, commit, then call out — or use an outbox."
Spring Boot,"In Spring Boot, why self-invocation skips @Transactional","Spring applies transactions via a proxy. this.foo() is a direct call on the target, so the interceptor never runs."
Spring Boot,new Service() vs Spring bean,"Annotations do nothing on objects you construct yourself. No proxy, no transaction, no security, no retry."
