Section,Question,Option A,Option B,Option C,Option D,Correct Answer
Gen AI,"In generative AI, putting more text into the context window mainly costs you:",Only local disk space on the client,"Compute, latency, and usually money for every token the model must process",Nothing; unused prompt tokens are free,Only the number of words in the final answer,B
Gen AI,"In generative AI, temperature in decoding mainly controls:",How many tokens fit in the context window,How peaked versus flat the next-token sampling distribution is,The tokenizer vocabulary size,Whether retrieved documents are allowed,B
Gen AI,"In generative AI, temperature near zero typically:",Samples more often from the long tail of tokens,Makes decoding more deterministic by favoring the highest-probability tokens,Expands the context window,Guarantees factually correct answers,B
Gen AI,"In generative AI, which mapping is most accurate?",Fine-tune: changing daily prices; RAG: tone of voice; prompt: new weights,"Prompt: task framing; RAG: updatable external facts; fine-tune: style, format, or domain language in weights",RAG: never use documents; prompt: train for weeks,Fine-tune: cheapest way to add one new fact tonight,B
Gen AI,"In generative AI, why are tokens not the same as words?",Billing is always one token per English word,"Tokenizers split text into subword pieces; counts vary by language, code, and punctuation",One token is always one Unicode character,Whitespace is never assigned a token,B
Gen AI,"In generative AI, you raise temperature on a support bot that must return a JSON schema. What usually gets worse?",Diversity of facts with tighter schema following.,"Stability: more sampling randomness, more malformed JSON and drift from the schema.","Latency, because temperature adds network hops.",Nothing; temperature only affects image models.,B
Gen AI,Why do next-token language models hallucinate?,They query a verified world model before every token,"They sample locally likely continuations, which can be fluent and still false",They are forbidden from producing any string not seen in training,"They only copy documents verbatim, so they cannot invent",B
Java,"In Java, a thread pool uses an unbounded LinkedBlockingQueue. Tasks pile up faster than workers. What fails first in production?",execute() throws RejectedExecutionException immediately.,The queue grows until the JVM hits memory pressure / OOM; latency explodes before you see rejections.,The pool silently drops tasks older than one second.,The JVM resizes the pool to Integer.MAX_VALUE workers.,B
Java,"In Java, why is `synchronized (this)` on a public method a brittle API choice?",It is ignored by the JIT.,Callers can lock on the same instance and deadlock with you; you leaked the lock identity.,synchronized cannot be used on instance methods.,"It always takes a table lock in the JVM, blocking all threads in the process.",B
Java,"In Java, you put a mutable class in a HashMap as a key, then mutate the field used by `hashCode`. What goes wrong?",HashMap rehashes the key automatically on mutation.,The entry can become lost: it sits in the old bucket while lookups use the new hash.,Java forbids mutating objects that have `hashCode` implemented.,"equals() is ignored once hashCode changes, but get() still works.",B
Kubernetes,"Every object you kubectl apply is persisted where, and why does that become a cluster bottleneck?","etcd — it is the consistent store; watch fan-out, large objects, and write bursts all hit it",Each node's local disk only; the API server is stateless forever,The container runtime graph driver,CoreDNS zone files,A
Kubernetes,"In Kubernetes, CPU limit is set to 100m, request to 100m. The process tries to use a full core. What do you observe?",CFS throttling — the container is not OOMKilled for CPU; it just runs slower in bursts,Immediate CrashLoopBackOff,The scheduler moves the pod to a bigger node mid-request,etcd rejects further status updates,A
Kubernetes,"In Kubernetes, HPA and VPA solve different bottlenecks. Which pairing is right?",HPA adds/removes replica count; VPA changes CPU/memory requests (and optionally limits) on the pod,HPA resizes PVCs; VPA resizes Services,HPA tunes etcd compaction; VPA tunes kubelet GC,HPA and VPA are two names for the same controller,A
Kubernetes,"In Kubernetes, a PodDisruptionBudget with minAvailable: 2 on a 3-replica app is mainly protecting you from what?",Voluntary disruptions such as node drains and rolling evictions going below 2 ready pods,OOMKills and kernel panics on the node,etcd quorum loss,Image pull failures from :latest,A
Kubernetes,"In Kubernetes, a pod has no memory request/limit. A noisy neighbor on the node allocates RAM. What is the most typical outcome for your pod?",It is guaranteed CPU and memory by default.,It is BestEffort QoS and is first in line to be OOM-killed when the node is under memory pressure.,"The scheduler will never place it, so it stays Pending forever.",Kubernetes automatically copies limits from the node capacity.,B
Kubernetes,"In Kubernetes, a pod is serving traffic correctly, but you wire the liveness probe to the same database health check as readiness. The database blips for 10 seconds. What happens?","kubelet kills the process and restarts the container, dropping in-flight work",Endpoints stay populated; only new connections are paused,The Deployment freezes rolling updates until the database recovers,kube-proxy retries the probe against a different replica,A
Kubernetes,"In Kubernetes, a pod that needs disk should reference a PVC, not a raw disk path. Why?",PVC is the claim; a PV (often via StorageClass) is the actual volume. Binding decouples app spec from storage backend,PVCs bypass etcd so disk I/O is faster,A PVC is just an alias for emptyDir,Only PVCs can be used with :latest images,A
Kubernetes,"In Kubernetes, a rolling update is stuck: new pods are not Ready, old pods are still serving. Which knob is doing its job?",The Deployment will not proceed past maxUnavailable / surge until new pods pass readiness — by design,PDB always blocks Deployment rollouts regardless of replica count,VPA freezes ReplicaSets during any probe failure,":latest tags cannot roll forward, only backward",A
Kubernetes,"In Kubernetes, during a default rolling update, why can you briefly run more pods than spec.replicas?",maxSurge allows extra new pods while old pods are still terminating,HPA always adds 1 replica during any rollout,etcd duplicates the ReplicaSet until compaction,kube-proxy clones Endpoints for session affinity,A
Kubernetes,"In Kubernetes, readiness probe is failing, liveness is passing. User impact?","Pod stays running but is removed from Service Endpoints, so it gets no new Service traffic",kubelet SIGKILLs the container every 10s,The node is cordoned automatically,PDB is violated and the cluster panics,A
Kubernetes,"In Kubernetes, the scheduler places pods using which resource field?",requests — that is the reservation the node must still have free,limits — that is the only number the scheduler reads,HPA targetUtilization,the container image size on disk,A
Kubernetes,"In Kubernetes, what is the correct split of responsibility between liveness and readiness?",Liveness: am I stuck and need a restart. Readiness: should I receive traffic right now,Liveness: CPU saturation. Readiness: memory saturation,Liveness: can the Service select me. Readiness: can the node schedule me,Liveness: PVC attached. Readiness: ConfigMap mounted,A
Kubernetes,"In Kubernetes, why is `:latest` a bad tag for Production Deployments?",Kubernetes cannot pull `:latest` at all.,"You cannot tell which image bytes are running, rollbacks are guesswork, and nodes may have different cached images.",`:latest` disables resource requests.,ImagePullPolicy is forced to Never.,B
Kubernetes,"In Kubernetes, why is deploying image: myapp:latest a production foot-gun?","The tag is mutable, so nodes can run different binaries under the same name and rollbacks become guesswork",Kubernetes refuses to pull tags that are not semver,:latest disables liveness probes,etcd cannot store tags named latest,A
Kubernetes,"In Kubernetes, you pointed liveness at a busy `/health` that hits the database. Under load the probe times out. What happens?",Kubernetes stops sending traffic but leaves the process running.,"Kubelet kills and restarts the container, which can make an overloaded app worse (restart death spiral).",The Deployment freezes rollouts until the database recovers.,"Readiness is implied, so only Service endpoints are removed.",B
Kubernetes,"In Kubernetes, you see CrashLoopBackOff on a new Deployment. What does that state actually mean?","The container started, exited non-zero (or failed liveness), and kubelet is applying exponential backoff before the next restart",The node is out of CPU and the pod cannot be scheduled,etcd rejected the pod spec as too large,The Service has no matching selectors,A
Kubernetes,You kubectl delete a pod. What should the process do in the terminationGracePeriodSeconds window?,"Catch SIGTERM (or preStop), stop taking new work, drain in-flight requests, then exit 0 before the grace period ends",Ignore signals; kubelet will always wait forever,Call the HPA API to scale to zero,Unmount its PVC so other pods can bind it immediately,A
MySQL,A secondary index in InnoDB does not store the row. How are remaining columns fetched?,"The secondary index leaf holds the primary key, then InnoDB looks up the clustered index",InnoDB always does a table scan after a secondary index match,Secondary indexes store a row pointer like MyISAM heap address,The buffer pool reconstructs rows from the binary log,A
MySQL,"In MySQL, a covering secondary index includes every column the query needs. Why does this avoid the clustered lookup?","The leaf already contains the needed values, so InnoDB need not use the PK to fetch the full row",Covering indexes store a copy of the entire clustered page,InnoDB skips MVCC checks on covering indexes,Gap locks are not taken when an index covers,A
MySQL,"In MySQL, a huge DELETE of old rows on a clustered PK range is slow and bloated. Why is this heavier than it looks?","Each delete maintains the clustered index, secondary indexes, undo, and binlog row events, and purge lags behind",DELETE in InnoDB is always a full table rebuild,Gap locks prevent purge forever after DELETE,The buffer pool cannot cache deleted pages,A
MySQL,"In MySQL, a replica falls minutes behind the primary. Reads that must see a write you just committed should go where, and why?",To the replica: replicas are always transactionally caught up if you use InnoDB.,To the primary (or a replica you have verified is caught up): async replication can return stale rows.,To either: InnoDB on the replica uses the same LSN as the primary for every SELECT.,To a replica with `SUPER` privilege so it reads the primary's buffer pool over the network.,B
MySQL,"In MySQL, a replica shows Seconds_Behind_Source growing during a long transaction on the source. Why can lag jump at COMMIT rather than during the transaction?","Binlog events for the transaction are dumped as a unit at commit, so the replica applier sees a burst only then",InnoDB on the source does not write undo until COMMIT,Gap locks are replayed only after the replica VACUUM,The replica buffer pool is flushed at every source statement,A
MySQL,"In MySQL, online DDL (INPLACE/INSTANT) still fails or blocks writes for some ALTER types. Which change is least likely to stay fully online?",Changing a column type in a way that requires a table rebuild and row conversion,Adding a nullable column with INSTANT metadata-only support on a compatible version,Adding a secondary index with INPLACE,Dropping a secondary index,A
MySQL,"In MySQL, statement-based binlog vs row-based. A statement uses UUID() or a non-deterministic UDF. What is the replica risk with SBR?",The replica executes the statement again and can produce different row values than the source,Row-based logging cannot replicate UPDATEs,Gap locks are not written to the binlog,The buffer pool is not updated on the replica,A
MySQL,"In MySQL, why is a covering secondary index often faster than one that only has the filter columns?",It avoids the extra clustered-index lookup to fetch remaining selected columns.,"Covering indexes disable the buffer pool, so they skip RAM and read SSD sequentially.",MySQL can then use statement-based replication for that query.,Covering indexes are stored in the query cache instead of InnoDB.,A
MySQL,"In MySQL, you add an index to fix a slow WHERE, but writes to that table drop in throughput. What is the direct cause?","Every INSERT/UPDATE/DELETE must maintain another btree, with extra undo, redo, and change-buffer or page-split work",InnoDB allows only one secondary index per table at runtime,Covering indexes disable the buffer pool,Online DDL remains running in the background forever,A
MySQL,"In MySQL, you run SELECT ... FOR UPDATE WHERE id < 100 on a sparse PK. Why can concurrent inserts of id=50 block even if 50 did not exist?",Gap locks cover the gaps between existing records in the scanned range,InnoDB locks the entire table for any range WHERE,UUID primary keys disable row locks,The binary log must serialize all inserts under RR,A
MySQL,"In MySQL, you run `SELECT ... FOR UPDATE` on a range in REPEATABLE READ. Why can that block inserts into gaps you did not think you locked?","InnoDB next-key / gap locks exist to prevent phantoms, so they lock index records and the gaps between them.",MySQL converts every range lock into a table lock in REPEATABLE READ.,FOR UPDATE only locks the rows that already exist; inserts are blocked by the binary log.,Gap locks are a MyISAM feature and InnoDB ignores them.,A
MySQL,InnoDB stores the clustered index as the table. Why is a random UUID primary key often a scaling problem?,"Inserts scatter across leaf pages, causing page splits, fragmentation, and poor buffer-pool locality",UUID values cannot be indexed in InnoDB,Secondary indexes cannot point at a UUID clustered key,Gap locks are disabled when the PK is not numeric,A
MySQL,InnoDB stores the full row in the primary-key B-tree. What does that imply for a secondary index lookup?,"The secondary index contains the full row too, so one lookup is enough.",The secondary index stores the primary key; InnoDB then looks up the clustered index to get the row.,Secondary indexes always require a table scan of the .ibd file.,Secondary indexes cannot be used if the primary key is a composite.,B
MySQL,READ COMMITTED in InnoDB uses fewer gap locks than REPEATABLE READ for many statements. What trade-off do you accept?,"Each statement sees a new snapshot, so non-repeatable reads and some write skew patterns become possible",Dirty reads of uncommitted data become allowed,The binary log can only be STATEMENT,The clustered index is no longer used,A
MySQL,REPEATABLE READ in InnoDB uses next-key (record + gap) locks for many UPDATE/SELECT ... FOR UPDATE scans. What anomaly is this trying to prevent?,Phantoms: another transaction inserting a row into the scanned range,Dirty reads of uncommitted data from other transactions,Loss of the clustered index after COMMIT,Replica lag on statement-based binlog,A
MySQL,The InnoDB buffer pool is smaller than the working set of clustered + secondary indexes. What is the first performance failure?,"Page misses cause read I/O on both index trees, and eviction of dirty pages adds write I/O",InnoDB falls back to MyISAM for those tables,Gap locks are released immediately to save memory,The binary log is disabled automatically,A
MySQL,"Under InnoDB REPEATABLE READ, a consistent snapshot SELECT (no FOR UPDATE) can still miss rows inserted and committed by others after your snapshot. That is expected MVCC. When do people still get surprised by phantoms?","When they mix snapshot reads with locking reads, or assume RR plus locks behaves like SERIALIZABLE for all statements",When the buffer pool is fully warmed,When the primary key is sequential,When row-based binlog is enabled,A
MySQL,Why does a wide PRIMARY KEY make every secondary index larger in InnoDB?,Each secondary leaf stores the full clustered key as the row locator,Secondary indexes duplicate every column of the table,InnoDB compresses only the primary key,Gap locks require the PK to be stored twice,A
PostgreSQL,A long-running analytics query is reading a table while OLTP traffic keeps updating it. Why don't those writers typically block the analytics reader in PostgreSQL?,"Writers take table-level exclusive locks, so the reader is queued in a wait list and then replayed from WAL.",Each writer updates in place; the reader always sees the latest bytes and never needs old versions.,Readers see a snapshot of row versions; writers create new versions instead of overwriting the row the reader is using.,"PostgreSQL copies the whole table to a temp file for every SELECT, so writers cannot touch it.",C
PostgreSQL,Connection pooling is added in front of PostgreSQL because each backend is a process. Which pooling mistake still exhausts the server?,Opening a new server connection per client request and holding idle transactions open,Using transaction pooling for sessions that never SET session state,Capping pool size below max_connections,Routing read-only queries to a hot standby,A
PostgreSQL,"In PostgreSQL, EXPLAIN (ANALYZE, BUFFERS) shows a Nested Loop with huge actual rows vs estimated rows. What is the most likely operational risk?","The inner scan is executed far more times than planned, exploding I/O and runtime",WAL volume drops because nested loops skip checkpoints,VACUUM cannot run while Nested Loop is chosen,synchronous_commit is forced off for the query,A
PostgreSQL,"In PostgreSQL, HOT (Heap-Only Tuple) updates skip index maintenance. Which condition prevents HOT and causes extra index churn?","The UPDATE changes a column that is part of an index, so a new index entry is required",The table has no indexes at all,fillfactor is 100 and there is free space on the page,The transaction isolation level is READ COMMITTED,A
PostgreSQL,"In PostgreSQL, READ COMMITTED vs REPEATABLE READ: a counter is incremented by two concurrent transactions. Which isolation surprise is unique to READ COMMITTED?","Each statement can see rows committed after the transaction started, so two increments can both succeed on different versions",Dead tuples cannot be vacuumed until both transactions end,WAL is written twice for the same tuple,Indexes are locked in SHARE mode for the whole transaction,A
PostgreSQL,"In PostgreSQL, VACUUM exists primarily because of which MVCC side effect?",Indexes forget about committed rows until VACUUM rebuilds them from scratch.,Dead row versions and leftover transaction IDs accumulate; something must reclaim that space and freeze XIDs.,WAL cannot be archived until VACUUM copies it to the heap.,Foreign keys are not checked until VACUUM runs.,B
PostgreSQL,"In PostgreSQL, a btree index on a low-cardinality status column is used for WHERE status = 'active' on a table that is 90% active. Why can this index hurt?","The index points at most heap pages, adding random I/O on top of reading nearly the whole table",Btree cannot store boolean-like values,"MVCC visibility is checked only in indexes, never the heap",Autovacuum refuses to analyze indexed columns,A
PostgreSQL,"In PostgreSQL, a client holds a session-level SET and a WITH HOLD cursor, then you switch the pooler to transaction pooling. What breaks?",Session state and held cursors are not bound to a single backend across transactions,WAL shipping to replicas stops,MVCC snapshots become SERIALIZABLE automatically,VACUUM FULL runs after every COMMIT,A
PostgreSQL,"In PostgreSQL, a long-running report transaction sits idle in the same database as a busy OLTP table. Why can autovacuum fail to reclaim dead tuples on that table even after many updates?",VACUUM cannot run while any other session holds a snapshot older than the dead tuples,PostgreSQL never vacuums a table that still has indexes,Dead tuples are only stored in WAL and never in heap pages,Idle transactions automatically freeze all XIDs so vacuum has nothing to do,A
PostgreSQL,"In PostgreSQL, a query plan shows Seq Scan on a 50-row lookup table that has a btree index on the filter column. When is the sequential scan often the better choice?","When most of the table will be visited anyway, random index I/O costs more than reading the heap once","When the index is unique, sequential scan is always preferred","When work_mem is large, indexes are ignored","When the column is NOT NULL, btree indexes cannot be used",A
PostgreSQL,"In PostgreSQL, after an UPDATE that does not change any indexed column, you still see a new heap tuple. What MVCC behavior explains this?",PostgreSQL always copies the whole row so readers of the old snapshot keep a consistent version,"Indexes store full row copies, so the heap is rewritten only for uniqueness checks",MVCC reuses the same tuple slot in place and never creates a new version,Updates are logged only in WAL; the heap is never rewritten until CHECKPOINT,A
PostgreSQL,"In PostgreSQL, streaming replication with a hot standby is lagging. Which primary-side behavior most directly grows replica apply delay?",Long transactions on the primary that produce a large WAL burst the standby must replay in order,Autovacuum on the standby rewriting the primary heap,synchronous_commit = on on the standby only,Creating a btree index on a temp table on the primary,A
PostgreSQL,"In PostgreSQL, table bloat after heavy UPDATE/DELETE is high, but pg_stat_user_tables.n_dead_tup is low. What can still make the table large on disk?",Free space is fragmented inside pages that are not returned to the OS without a rewrite,"Dead tuples live only in indexes, never in the heap",WAL files are counted as table size,TOAST is never vacuumed so it always grows,A
PostgreSQL,"In PostgreSQL, why must VACUUM (not just autovacuum on one table) eventually freeze tuples cluster-wide?",Transaction IDs wrap around; unfrozen tuples would look like they are in the future,WAL cannot be recycled until every tuple is frozen,Hot standbys cannot connect unless all tables are frozen,Indexes become invalid when XIDs exceed 2 million,A
PostgreSQL,"In PostgreSQL, you added a B-tree index on a boolean `is_deleted` column that is false for 99% of rows. Most queries filter `WHERE is_deleted = false`. What is the most likely result?",The index will usually beat a sequential scan because booleans are tiny.,The planner will often ignore the index: it still has to visit almost every row.,PostgreSQL will automatically convert the B-tree into a partial index.,Writes get faster because the index is smaller than the heap.,B
PostgreSQL,"In PostgreSQL, you partition a large events table by day. Which query pattern fails to benefit and may get worse?","Queries that filter on a non-partition key, forcing the planner to scan every partition",Queries that constrain the partition key to a single day,COPY into the current day's partition,DROP of an old partition instead of DELETE,A
PostgreSQL,"In PostgreSQL, you set synchronous_commit = off for a burst of non-critical inserts. What failure mode did you accept?",A crash can lose recent committed transactions even though clients already saw COMMIT succeed,Replicas will refuse to apply WAL until the master is restarted,VACUUM will skip the table until the next CHECKPOINT,Indexes become invalid because index WAL is not written,A
PostgreSQL,Why does PostgreSQL write to WAL before applying the same change to the heap file?,WAL is a compressed copy of the heap used to speed up sequential scans.,So a crash can replay committed work; the heap can be rebuilt from a durable log of changes.,WAL is only for logical replication and is not used on a single node.,"The heap is append-only, so WAL is how updates find the old row.",B
PostgreSQL,Your app opens a new PostgreSQL connection for every HTTP request and closes it at the end. Under load the database CPU is fine but new requests stall. What is the usual bottleneck?,"SQL parsing cannot be cached across connections, so every query is planned from scratch and fills disk.",Each connection is a backend process; process/memory overhead hits `max_connections` long before query CPU does.,PostgreSQL allows only one query at a time for the whole cluster.,"TLS handshakes are stored in WAL, so connections wait on checkpoints.",B
Python,"In Python, `is` vs `==` for strings that look identical: when is `is` the wrong check?",`is` compares values; `==` compares identity.,"`is` is object identity. Interning makes some equal strings share identity, but it is not a value comparison you should rely on.",`==` is illegal on strings.,They are the same for all objects except floats.,B
Python,"In Python, a function is defined as `def append(item, bucket=[]):`. Why do later callers see other callers' items?","Lists are passed by name, so all calls share a global `bucket` variable.",The default list is created once at function definition and reused; mutations accumulate.,"Python copies defaults on each call, but `[]` is interned like small integers.",This only happens in debug mode; production isolates defaults per request.,B
Python,"In Python, a generator expression is passed to a function that iterates it twice. Why is the second pass empty?",Generators are one-shot iterators; after exhaustion they yield nothing unless you recreate them.,CPython copies generators into a list automatically on first use.,Functions always rewind generators to the start.,Generator expressions are tuples in disguise.,A
Python,"In Python, a loop of nested functions is created as `funcs = [lambda: i for i in range(5)]`. Why do they all return 4?",lambda cannot capture loop variables in CPython.,"Closures bind the variable, not the value at definition; they all read the final `i`.","range(5) is lazy and only evaluated when the lambda runs, always as 4.","list comprehensions run in reverse, so i is always 4.",B
Python,"In Python, a module-level `client = ApiClient()` is created at import. Tests and apps fight over it. What is the issue?",Imports cannot run constructors.,"Import-time globals are a hidden singleton: hard to fake, created even if unused, and shared across tests.",Module-level objects are recreated on every function call.,CPython isolates module globals per request.,B
Python,"In Python, why can `list.append` in a loop be fine, but repeated `list = list + [x]` be quadratic?",append reallocates exponentially (amortized O(1)); concatenating two lists copies on every step.,append copies the whole list; `+` mutates in place.,Both are O(1); the quadratic story is a myth.,`+` uses C speed and is always faster than append.,A
Python,"In Python, why does `if user_ids:` treat an empty list as false, and why is that a trap when `user_ids` can also be `None`?","Empty list and None are the same object, so you cannot distinguish them.","Both are falsy, so you cannot tell 'no rows' from 'caller forgot to pass the list' unless you check `is None` first.",Empty lists are truthy in CPython; only None is falsy.,"`if user_ids` always copies the list, so None would throw before the test.",B
Python,"In Python, why is `datetime.now()` without a timezone a production footgun?",Naive datetimes cannot be stored.,They look like timestamps but do not know their zone; DST and UTC conversion will silently be wrong.,now() always returns UTC.,Python forbids naive datetimes in 3.x.,B
Python,"In Python, you catch `except Exception` around a web handler and return 200. What did you hide?",Nothing; Exception does not include programming errors.,"Almost every failure, including bugs you needed to see; the client thinks success while you swallowed the traceback.",Only network errors; SyntaxError still propagates.,"Exception is BaseException, so you also catch KeyboardInterrupt on purpose.",B
Python,"In Python, you iterate a dict and delete keys as you go (`for k in d: del d[k]`). What happens?",CPython always allows mutating the dict while iterating.,RuntimeError: dictionary changed size during iteration — iterate on `list(d)` if you must delete.,Deleted keys are skipped silently and the loop finishes.,"The dict freezes a snapshot, so deletes never affect the loop.",B
Python,You spawn 8 threads to crunch CPU-bound numpy-free Python loops on an 8-core machine. Why don't you get 8× speedup?,"The GIL allows only one thread at a time to execute bytecode, so CPU-bound threads take turns.",Threads cannot run in CPython at all.,Python processes cannot use more than one core without CUDA.,The OS will not schedule more than one Python thread per process.,A
Redis,"In Redis Cluster, a key maps to a hash slot. Multi-key commands work only when:",All keys live in the same slot (often forced with a hash tag),You use KEYS first,AOF is enabled,Eviction is noeviction,A
Redis,"In Redis, KEYS * in production is dangerous because:",It is eventually consistent,"It is a blocking, whole-keyspace scan on a single-threaded server",It evicts all keys,It only works in Cluster,B
Redis,"In Redis, RDB snapshots vs AOF: you need to lose at most a few milliseconds of writes on crash. Which direction is right?",RDB every hour is enough because snapshots are always up to the last command.,AOF with frequent fsync (or hybrid) replays recent writes; RDB-only can lose everything since the last snapshot.,Neither persists; Redis is memory-only by design and cannot survive a process crash.,RDB is always more durable than AOF because it is binary.,B
Redis,"In Redis, RDB vs AOF in one line:","RDB is a point-in-time snapshot; AOF logs writes for a tighter durability window, at more I/O cost",AOF is only for cluster slots,RDB and AOF are identical,RDB makes Redis multi-threaded,A
Redis,"In Redis, TTL on a cache key means:",The database row is deleted,Redis may drop the key after expiry; the source of truth must still exist elsewhere if you need it,The key is persisted to RDB immediately,Replicas cannot read it,B
Redis,"In Redis, a cache stampede (thundering herd) is:",AOF rewrite using too many cores,Many clients missing the same expired key at once and all hitting the database together,Cluster slot migration,Replica promotion,B
Redis,"In Redis, a huge value on one hot key is a problem even with Cluster because:",Slots cannot hold strings,"That key still lives on one node and is served by one command loop; Cluster shards keys, not a single giant value",RDB cannot snapshot large keys,TTL cannot apply,B
Redis,"In Redis, cache stampede: a hot key expires and 2,000 app servers miss at once. What is the real failure mode?",Redis refuses the first GET after expiry.,"They all stampede the origin (DB) together; Redis itself is usually fine, the database is not.",AOF rewrite blocks until every server has the new value.,Cluster hash slots reshuffle and drop the key forever.,B
Redis,"In Redis, if the process restarts and you only have occasional RDB snapshots, you should expect:",Zero data loss always,Loss of writes since the last snapshot unless AOF (or a real database) covers them,Automatic replay from clients,Slot counts to reset,B
Redis,"In Redis, maxmemory is hit and the policy is allkeys-lru. What happens to a new SET?",Redis refuses all commands forever,"Redis evicts some existing key to free memory, then accepts the write",Redis spills to disk as the source of truth,Redis converts to AOF-only,B
Redis,"In Redis, noeviction as a maxmemory policy means:",Keys never expire,Writes that need memory fail instead of dropping other keys,Redis becomes the source of truth,Cluster slots merge,B
Redis,"In Redis, pipelining helps throughput because:",It makes Redis multi-threaded,"The client sends many commands without waiting for each round trip, feeding the single-threaded loop more work per RTT",It disables eviction,It writes AOF twice,B
Redis,"In Redis, reading from a replica can be stale because:",Replicas use Scan only,Replication is asynchronous; a write on the primary may not have arrived yet,Replicas ignore AOF,Replicas always evict first,B
Redis,Redis executes commands on a primary single thread (per process). A slow KEYS or huge SUNION therefore:,Runs on extra cores automatically,Blocks other clients on that instance until it finishes,Is always O(1),Only affects AOF rewrite,B
Redis,Redis runs commands on one main thread. What does that mean when one KEYS * or a huge SUNION hits production?,Other clients keep getting p95 latency because Redis pipelines around the slow command.,"That command holds the thread; all other commands wait, so the whole instance stalls.","Redis forks a thread per command, so only that key is slow.",The slow command is automatically moved to a replica.,B
Redis,"Why is Redis a cache or speed layer, not the system of record, in most architectures?",It cannot store strings,"Memory, eviction, async replicas, and restart/restore behavior mean data can disappear; durable truth belongs in a database designed for it",Redis cannot set TTLs,Cluster mode forbids writes,B
Spring Boot,"In Spring Boot, a `@Transactional` method in the same class calls another `@Transactional` method on `this`. Why might the inner transaction settings be ignored?",Spring transactions only work on private methods.,"Self-invocation does not go through the proxy, so the inner advice never runs.",Nested transactions are illegal in Spring and fail startup.,@Transactional only applies to REST controllers.,B
Spring Boot,"In Spring Boot, open-in-view is enabled. A controller returns an entity; the view touches a lazy collection. What is the hidden cost?","The session is closed, so you always get LazyInitializationException (so the flag does nothing).","The DB connection stays open until the response is rendered, turning view work into connection-pool occupancy and N+1 queries.",Hibernate upgrades all lazy fields to eager at compile time.,The collection is loaded from Redis instead of the database.,B
Spring Boot,"In Spring Boot, your API is fast in tests but in production the pool of 10 JDBC connections is always busy. What should you look at first?",Increase Tomcat threads without looking at connection hold time.,"Long transactions, Open-in-view, and queries that hold connections while calling other services.",Disable HikariCP; Spring will pipeline SQL on one connection.,Switch to `DriverManager.getConnection` per request for fairness.,B
