Section,Level,Question,Correct Answer
C++,senior,"In C++, why must destructors not throw?",During unwind there is already an exception. A second throw calls std::terminate. Destructors should release and swallow or std::abort on truly fatal resource failure.
C++,senior,"In C++, why not write a lock-free queue first?","Memory ordering, ABA, and lifetime are easy to get wrong and hard to test. A mutex-protected deque is correct and fast enough for most services. Profile before you invent a queue."
Cassandra,senior,"In Cassandra, LOCAL_QUORUM vs QUORUM in multi-DC: what latency did you buy?","LOCAL_QUORUM waits for a majority in the local DC only, avoiding cross-DC round trips. Cluster-wide QUORUM may wait on remote DCs."
Cassandra,senior,"In Cassandra, read repair vs anti-entropy repair?",Read repair may fix replicas actually touched by a query. Anti-entropy repair walks ranges (including cold data) to reconcile the replica set systematically.
Cassandra,senior,"In Cassandra, what goes wrong with an unbounded partition (millions of clustering rows)?","Compaction, cache, repair, and reads concentrate on one token's huge contiguous data. Streaming and merging that partition can stall a replica."
Cassandra,senior,"In Cassandra, what is a wide partition and why is it an outage?","All rows for a partition key live together and are read/streamed as a unit. Tens of GB for one key means hot nodes, slow repairs, and GC pressure. Bucket the key (user+day) before the partition grows up."
Cassandra,senior,"In Cassandra, why can hinted handoff not replace repair?",Hints cover some missed writes for a limited time and can expire. They do not walk all token ranges or fix every kind of divergence. Repair still required.
Cassandra,senior,"In Cassandra, why do tombstone-heavy slice queries time out?",The replica must scan and skip deletion markers to find live rows. Huge tombstone runs burn CPU/I/O and hit tombstone-failure thresholds before returning data.
Cassandra,senior,"In Cassandra, why does write QUORUM + read QUORUM with RF=3 give a replica overlap?","W+R>RF (2+2>3), so the set of replicas that took the write and the set that serve the read must share at least one node holding the data."
Cassandra,senior,"In Cassandra, why is LWT on a hot partition especially bad?","Paxos serializes proposers per partition. Competing CAS operations on the same key queue behind in-flight rounds, amplifying latency far more than regular quorum writes."
Cassandra,senior,"In Cassandra, why isn't QUORUM a CAS?","QUORUM gives you overlapping replica sets so a read usually sees the latest LWW write, not a linearizable compare-and-set. Two clients can still lose an update to timestamps. Lightweight transactions run Paxos per partition and cost latency for a reason."
Cassandra,senior,"In Cassandra, why must tombstones wait for a gc-grace window?",A replica that missed the delete could otherwise resurrect data once tombstones are gone. Grace gives time for hints/repair to propagate deletes first.
Data Structures & Algorithms,senior,"In data structures and algorithms, BFS frontier vs DFS stack",Wide shallow graphs: BFS queue can explode (social hops). Deep graphs: DFS stack can explode. Bidirectional BFS shrinks the frontier for shortest paths between two nodes.
Data Structures & Algorithms,senior,"In data structures and algorithms, LRU delete/move needs prev",Map to node + doubly linked recency list (or indexed array). Singly linked forces scans. Clock/2Q trade exact LRU for fewer pointer writes — still a layout choice.
Data Structures & Algorithms,senior,"In data structures and algorithms, bloom pays off on negative-heavy traffic","Each 'no' avoids a slower check. Each 'yes' still goes to source of truth, including false positives. Size the filter from n and target error; rebuild or counting variants if deletes matter."
Data Structures & Algorithms,senior,"In data structures and algorithms, heap is not a map","extract-min is fast; find/cancel by id is not unless you add a hash of indices or use a tree. Schedulers, Dijkstra decrease-key, and timers all hit this."
Data Structures & Algorithms,senior,"In data structures and algorithms, how does LRU get O(1) operations?","Hash map: key to list node. Doubly linked list: recency order. On get, splice the node to the front. On miss+full, evict the tail. A heap would be log n and is the wrong recency structure."
Data Structures & Algorithms,senior,"In data structures and algorithms, range query vs point query","Point: hash. Range/predecessor/in-order: tree (in memory) or B-tree/LSM (on disk). Heap only gives you the current extreme, not a range."
Data Structures & Algorithms,senior,"In data structures and algorithms, stable sort as a product feature","Preserve earlier sort keys; keep original row order on ties; merge sorted runs without scrambling equals. If you need a total order, add a unique tie-break instead of hoping."
Data Structures & Algorithms,senior,"In data structures and algorithms, union-find plus extra payload","Keep aggregates on the root (size, min id, XOR, bipartite parity). After find, both nodes share a root so the payload is the component's. Rebuild payload on union."
Data Structures & Algorithms,senior,"In data structures and algorithms, virtual nodes on a hash ring",Many tokens per physical server so ranges are small and mix well. Unequal capacity → proportional token count. Still plan warmup when a token range moves.
Data Structures & Algorithms,senior,"In data structures and algorithms, why virtual nodes on a consistent hash ring?",One vnode per server makes neighbors absorb a huge arc on failure and keeps load lumpy. Many virtual nodes per physical server smooth placement and failover.
DynamoDB,senior,"In DynamoDB, GSI limits you should recite in an interview?","GSIs are eventually consistent, add write amplification, need their own capacity/heat planning, and a low-cardinality GSI PK is as bad as a low-cardinality table PK."
DynamoDB,senior,"In DynamoDB, KEYS_ONLY vs ALL projections?","KEYS_ONLY keeps index writes small; you GetItem the base row after. ALL makes the GSI a fat copy — convenient reads, expensive writes as items grow."
DynamoDB,senior,"In DynamoDB, how can a GSI take down base-table writes?",Each base write that touches indexed attributes must update the GSI. A hot or throttled GSI partition backpressures those writes. Indexes have their own heat.
DynamoDB,senior,"In DynamoDB, table-level capacity looked fine but one key throttled. Lesson?",Throughput is not a shared buffet for every key. Provisioned/on-demand numbers are not a per-key SLA. Fix the key or cache/shard it.
DynamoDB,senior,"In DynamoDB, what is a sparse GSI for?",Only items that have the index attributes appear. You get a small index aligned to a rare access path instead of projecting the entire table.
DynamoDB,senior,"In DynamoDB, when do you actually need a strongly consistent read?","When the next decision cannot accept a replica lag on that base-table item (read-your-write, balance check). Not 'always', and not on GSIs."
DynamoDB,senior,"In DynamoDB, why aren't filter expressions a substitute for keys?",Capacity is consumed before the filter. You still read (and pay for) items you throw away. Filters refine a Query; they do not create an access pattern.
DynamoDB,senior,"In DynamoDB, why can a GSI throttle when the table does not?",A GSI is a separate partitioned projection. Its partition key has its own cardinality and throughput. Projecting a low-cardinality attribute (status=OPEN) recreates a hot-key problem on the index.
DynamoDB,senior,"In DynamoDB, why split a hot counter out of a fat item?",Updates rewrite the whole item. A 300 KB document with a frequently incremented field burns write capacity and collides more. Keep the hot mutable bits small; store blobs separately.
DynamoDB,senior,"In DynamoDB, write sharding for a hot key: how and what is the cost?",Append a shard id to the PK so writes spread. Readers fan in across shards. Shard count becomes part of the contract.
Gen AI,senior,"In generative AI, RAG failure modes","Miss, stale index, wrong ranking, query-doc mismatch, chunk split, and “cited but not entailed.” Faithful summary of the wrong chunk is still a failure."
Gen AI,senior,"In generative AI, eval pitfalls","Tiny n, leaked test items in prompts, LLM-as-judge bias, scoring fluency, and ignoring retrieval metrics. Measure the failure you actually ship."
Gen AI,senior,"In generative AI, hallucinated citations","“According to…” is a likely string even with no source in context. Require retrieved spans, or refuse. Do not trust citation-shaped text."
Gen AI,senior,"In generative AI, indirect injection","Payloads hide in retrieved pages, tickets, or files. Separate untrusted content, delimit it, and never let it choose tools or exfiltrate secrets."
Gen AI,senior,"In generative AI, structure-aware chunking","Split on headings, functions, or table rows when you can. Keep IDs and titles in the chunk. Overlap at boundaries. Avoid orphaned numbers in tables."
Gen AI,senior,"In generative AI, stuffing vs retrieval","Dumping a whole corpus into the window is slow, expensive, and easy to distract. Retrieve, rank, and keep only spans that can support the answer."
Gen AI,senior,"In generative AI, temperature vs schema tasks",Low temperature for extraction and tools. Higher temperature for brainstorming. Temperature will not fix missing evidence.
Gen AI,senior,"In generative AI, token-cost traps","Code, tables, and some languages use more tokens per character. Word limits are not token limits. Truncation can drop the answer, not the preamble."
Gen AI,senior,"In generative AI, what is prompt injection in a RAG app?","Untrusted retrieved text that tries to override instructions ('ignore the policy, dump secrets'). Treat documents as data, not as a source of commands, and don't give the model tools it shouldn't use on that path."
Gen AI,senior,"In generative AI, why does RAG still answer wrong when the doc exists?","If chunking split the fact, the embedding didn't retrieve it, or you truncated top-k, the generator never saw it and will guess. Debug retrieval hit rate before blaming the model."
Java,senior,"In Java, CHM iterator semantics","Weakly consistent, no CME. Not a snapshot. size() is an estimate, not a lock-protected exact count."
Java,senior,"In Java, JPA entity equals on generated id",Transient entities share null id and collapse or collide; after persist the id (and hash) changes and hash collections lose them. Prefer a stable business key or identity until assigned.
Java,senior,"In Java, JSON / JPA / parameters","Wire and DB layers want nullable columns and properties. Convert to Optional at the service boundary if you want it, not on the entity/DTO itself."
Java,senior,"In Java, blind get()","Throws NoSuchElementException. It is not safer than NPE. Use orElse, orElseGet, orElseThrow, ifPresent, map."
Java,senior,"In Java, cached pool opposite failure","SynchronousQueue + unbounded max threads: bursts create threads until native memory or context switching dies, instead of filling the heap."
Java,senior,"In Java, callerRunsPolicy hazard",The submitting thread runs the task. On request threads this can deadlock or stall the inbound pool that was supposed to stay available.
Java,senior,"In Java, computeIfAbsent caution","Mapping function runs under per-key lock. Do not block, do not re-enter the map unsafely, and do not expect a null return to insert a null value."
Java,senior,"In Java, concurrent ≠ bounded","A ConcurrentHashMap that only puts will still OOM. Concurrency does not provide eviction, backpressure, or multi-structure atomicity."
Java,senior,"In Java, copyOnWriteArrayList","Snapshot iterators, expensive writes (full array copy). Fits rare writes and many unsynchronized readers, e.g. listener lists."
Java,senior,"In Java, double-checked locking","The instance field must be volatile (or initialized via a holder class). Otherwise a reader can see a non-null, uninitialized object."
Java,senior,"In Java, equals vs compareTo mismatch","HashSet membership and TreeSet membership can disagree for the same pair of objects, breaking uniqueness assumptions across APIs."
Java,senior,"In Java, equals/hashCode contract in one sentence","If a.equals(b) then a.hashCode() == b.hashCode(); hashCode may collide when equals is false. Both must use the same significant, stable fields."
Java,senior,"In Java, final field freeze","After a constructor finishes, final fields are visible to any thread that sees the published reference — unless this escaped during construction."
Java,senior,"In Java, get-then-put race","Thread-safe collections still race on compound actions. Use putIfAbsent, compute, merge, or an external lock around the invariant."
Java,senior,"In Java, getClass() vs instanceof in equals",getClass() rejects subclasses and protects transitivity for map keys. instanceof allows mixed-type equality and needs a canEqual pattern to stay safe.
Java,senior,"In Java, happens-before meaning","A JMM relation: if A HB B, then A's memory effects are visible to B and A is ordered before B. Wall-clock time is irrelevant."
Java,senior,"In Java, humongous / large object path","Objects that do not fit in the nursery are allocated directly in old or a large-object space, so they never get a cheap death in eden."
Java,senior,"In Java, isPresent/get loop",Reverts to null-check style. Chain filter/map/flatMap and terminate with orElse/orElseThrow so absence has one path.
Java,senior,"In Java, iteration rule for synchronizedMap",Manually synchronize on the map for the whole iteration. Otherwise you race writers and can get ConcurrentModificationException.
Java,senior,"In Java, legal but useless hashCode","Returning a constant satisfies the contract and puts every key in one bucket, making HashMap/HashSet linear and contention-heavy."
Java,senior,"In Java, log signals of promotion trouble","High promotion bytes, survivor overflow, rapidly rising old occupancy, then mixed/full GCs — not just 'GC happened'."
Java,senior,"In Java, monitor HB",Unlock of monitor M happens-before a later lock of the same M. Both sides must use the same lock; one-sided synchronized does not publish.
Java,senior,"In Java, naN in equals",A field that is NaN makes a.equals(a) false if you use ==. That violates reflexivity and poisons every hash collection.
Java,senior,"In Java, nested Optional",map() on a function that returns Optional produces Optional<Optional<T>>. Use flatMap. Do not return Optional of an empty collection.
Java,senior,"In Java, newFixedThreadPool queue",Unbounded LinkedBlockingQueue. Tasks are never rejected; they accumulate in heap. maximumPoolSize is effectively ignored.
Java,senior,"In Java, no sync edge",A plain field write may never become visible to another thread. Compilers and CPUs are allowed to keep it in a register or store buffer.
Java,senior,"In Java, nulls","CHM forbids null keys and values. synchronized HashMap allows them, which confuses missing vs null and breaks a later CHM migration."
Java,senior,"In Java, nursery size tradeoff","Larger young gen lets request objects die before tenuring but makes each young pause copy more. Tune from promotion rate and pause budget, not folklore."
Java,senior,"In Java, of vs ofNullable",of(null) throws NPE. ofNullable(null) is empty. Use of only when the value is known non-null.
Java,senior,"In Java, optional as a field","Extra allocation per instance, and the field reference itself can be null — two absences. Store a nullable T (or a sentinel) instead."
Java,senior,"In Java, orElse vs orElseGet","orElse always evaluates its argument. orElseGet runs the supplier only on empty. Never put RPC, logging, or allocation in orElse(...)."
Java,senior,"In Java, premature promotion","Short-lived objects tenure because eden/survivors are too small, the tenuring threshold is too low, or the object is too large. Result: old-gen GC churn."
Java,senior,"In Java, promotion failure",Old generation has no contiguous room (often fragmentation). Young GC cannot tenure and the collector escalates to a full or concurrent-mode-failure collection.
Java,senior,"In Java, safe production pool","Bounded queue, explicit max threads, Abort (or a carefully chosen) handler, timeouts that include queue wait, and metrics for queue depth and wait."
Java,senior,"In Java, start and join","start() HB the first action of the new thread. Termination HB a successful join(), so the joiner sees the worker's writes."
Java,senior,"In Java, survivor overflow","Live young objects do not fit in survivor space, so the collector promotes them in bulk during a young GC."
Java,senior,"In Java, synchronized wrappers vs CHM",synchronizedMap/List lock the entire collection per call. ConcurrentHashMap allows concurrent reads and striped writes. Wrappers do not make iteration atomic.
Java,senior,"In Java, timeout vs queue wait","Task timeouts usually start at run(), not submit(). Unbounded queues hide minutes of wait that no downstream timeout sees."
Java,senior,"In Java, unbounded queue outage signature","Success rate stays high, latency and heap climb, GC thrashes, then OOM. Workers look 'busy but healthy' at core size."
Java,senior,"In Java, visibility vs atomicity",volatile/HB publish values. They do not make read-modify-write atomic. Counters and check-then-act still need atomics or locks.
Java,senior,"In Java, volatile publication","A volatile write HB a later volatile read of that variable, and carries all writes in that thread that HB the volatile write (release/acquire)."
Java,senior,"In Java, what Optional is for","A return type that forces the caller to confront absence. Not a field, not a parameter, not a persistence type, not a Map value wrapper."
Java,senior,"In Java, what promotion is",Copying a still-reachable object from young generation into old generation after it survives collections (or because it would not fit in young).
Java,senior,"In Java, when ThreadPoolExecutor starts threads above core","Only when workQueue.offer fails (queue full). Unbounded queues never fail offer, so extra threads never start."
Java,senior,"In Java, when you must override hashCode",Whenever you override equals. Skip both only if identity equality is the intended semantics.
Java,senior,"In Java, why caches tenure junk","TTL slightly longer than the young-gen lifetime keeps entries alive through a young GC. They promote, then become old garbage when the TTL expires."
Java,senior,"In Java, why is blocking on the common ForkJoinPool dangerous?",parallelStream and many CompletableFuture callbacks share it. Blocking I/O there starves unrelated code in the same JVM. Use an application-owned bounded pool for blocking work.
Java,senior,"In Java, why isn't get-then-put on ConcurrentHashMap atomic?","Each call is thread-safe, the compound is not. Two threads read 5 and both write 6. Use compute/merge or a concurrent accumulator."
Java,senior,"In Java, why mutating a key after HashMap.put loses the entry","The entry stays in the bucket of the old hash. Lookup computes a new hash and searches a different bucket, so get/contains miss."
Java,senior,"In Java, why reject is kinder than queue",Rejection is visible backpressure. The load balancer can shift traffic. Silent queueing pins overload to one JVM until it crashes.
Kubernetes,senior,"In Kubernetes, PDB vs replica count",minAvailable == replicas blocks drains and some voluntary evictions entirely. You want a budget (e.g. 1 down) so upgrades and autoscaler can move pods.
Kubernetes,senior,"In Kubernetes, PVC binding and topology",WaitForFirstConsumer binds after a node is chosen so zonal PVs match. Immediate binding can strand a PVC in the wrong AZ; RWO volumes cannot attach to two nodes.
Kubernetes,senior,"In Kubernetes, classic liveness misuse patterns",1) Probe a downstream DB/queue. 2) Tight liveness during slow boot (no startupProbe). 3) TCP probe on a deadlocked but listening process. Result: restart storms or silent unhealth.
Kubernetes,senior,"In Kubernetes, etcd as the real bottleneck","Every object and watch lands there. Large Secrets/CRDs, thousands of objects per ns, noisy status updates, slow disks. Symptoms: API latency, leader elections, controller lag — not 'the node is slow.'"
Kubernetes,senior,"In Kubernetes, mutable tags vs digests",myapp:v3 or sha256:… is a pin. :latest plus IfNotPresent freezes yesterday's bits; Always plus :latest makes each node a lottery. Controllers and rollbacks need immutability.
Kubernetes,senior,"In Kubernetes, qoS from requests/limits","Guaranteed: every container request==limit. Burstable: some request. BestEffort: none. Under node memory pressure, BestEffort is evicted first. Limits without requests do not make you Guaranteed."
Kubernetes,senior,"In Kubernetes, rolling update + readiness + graceful shutdown as one system","New pod must become Ready before old is dropped (surge/unavailable). Old pod should fail readiness, drain, then exit inside grace. Endpoint propagation lag needs a preStop delay or similar."
Kubernetes,senior,"In Kubernetes, when VPA fights HPA","Both react to CPU/memory saturation. VPA resizing changes utilization, which changes HPA replica math. Prefer one autoscaler on that signal, or split: HPA on traffic, VPA recs for rightsizing."
Kubernetes,senior,"In Kubernetes, when does a CPU limit hurt p99?","If the process bursts above its CFS quota, it is throttled even on an idle node. Request is for scheduling; limit is a cap. Latency-sensitive services often set request carefully and avoid tight CPU limits, while still capping memory."
Kubernetes,senior,"In Kubernetes, why do rollouts get stuck with PDBs?","The new pod never becomes Ready, so the controller will not (or cannot, given maxUnavailable=0 and a PDB) take the old pod down. You have two constraints and zero healthy surge. Fix the probe/image, don't just raise replicas."
MySQL,senior,"In MySQL, how do next-key locks on a secondary index deadlock with inserts?","A range locking read holds record plus gap locks on the secondary, then clustered rows. An insert takes an insert-intention lock in the same gap and needs the clustered slot. Lock order differs, so two sessions can cycle."
MySQL,senior,"In MySQL, what does a growing undo history list length mean for reads?","Purge cannot remove old row versions while some snapshot still needs them. Readers walk longer version chains, tablespaces grow, and eventually you hit rollback-segment pressure. Kill old snapshots; do not just add disk."
MySQL,senior,"In MySQL, what does a metadata lock wait during DDL mean?","Even 'online' ALTER needs a short exclusive metadata lock. A long-running transaction that touched the table blocks that lock. The ALTER sits, and new queries pile up behind it. Kill/finish the long transaction; don't just retry DDL harder."
MySQL,senior,"In MySQL, what replica risk comes with INSTANT DDL?",The binlog records a DDL that only newer engines can apply as metadata. Older replicas fail to apply or rebuild differently. Rolling upgrades must keep replica versions capable of the same INSTANT row format.
MySQL,senior,"In MySQL, why can parallel replica workers still run as if single-threaded?","Apply must respect conflicts: overlapping rows, missing writesets, or commit-order constraints serialize those transactions. Hot tables or one giant transaction become the bottleneck no matter how many workers you start."
MySQL,senior,"In MySQL, why do huge DELETEs create both source stalls and replica lag?","One transaction holds undo until commit, writes a massive RBR stream at once, and leaves purge to catch up. Batches bound undo, binlog bursts, and apply time so replicas and purge stay even."
MySQL,senior,What durability do you lose with innodb_flush_log_at_trx_commit = 2?,Redo is flushed about once per second rather than at every COMMIT. A crash of the OS or host can drop recent committed transactions. You keep protection against mysqld process death if the OS still flushed the file.
MySQL,senior,"When does InnoDB change buffering help, and when is it useless?","It defers secondary-index updates when those pages are not in the buffer pool, absorbing random writes. Unique checks that must see the index immediately, and a fully cached working set, get little benefit and can hide a later merge storm."
MySQL,senior,Why are random UUID primary keys painful in InnoDB?,"The clustered index is the table. Random inserts split pages all over the file, kill sequential write patterns, and bloat the tree. A sequential (or time-ordered) PK keeps inserts at the tail. Secondary indexes also get larger because they store that PK."
MySQL,senior,Why must replicated InnoDB tables have an explicit primary key for RBR performance?,"Row events locate the target row by PK (or a unique key). Without one, apply may scan the table per event. A hidden clustered key on the source does not give the replica a stable, efficient lookup."
PostgreSQL,senior,"In PostgreSQL, how can a forgotten replication slot take down a primary?","The slot pins WAL (and for logical slots, catalog xmin) until the consumer acks. If the consumer dies, WAL accumulates until the disk fills and the primary cannot write. Monitor slot lag and drop unused slots."
PostgreSQL,senior,"In PostgreSQL, how does bloat persist after n_dead_tup looks healthy?","VACUUM marks free space on pages for reuse but does not return pages to the OS. Fragmented fill and bloated indexes keep relation size high until CLUSTER, VACUUM FULL, or pg_repack rewrites the file."
PostgreSQL,senior,"In PostgreSQL, what conflict happens when a hot standby query meets VACUUM replay?",Replay may need to remove tuple versions the standby query still sees. With short max_standby_streaming_delay the query is canceled; with hot_standby_feedback the primary delays cleanup and can bloat instead.
PostgreSQL,senior,"In PostgreSQL, what does a Nested Loop with a bad row estimate do to runtime?","The inner plan runs once per outer row. If actual rows are orders of magnitude above estimate, you get nested explosions of index lookups or worse. Recheck statistics, correlated columns, and whether a hash or merge join would bound the work."
PostgreSQL,senior,"In PostgreSQL, what does a stale replication slot do to a primary?","The primary must retain WAL from the slot's restart LSN. If the subscriber dies, WAL piles up until disk is gone. Dropping the slot frees disk but you cannot catch that subscriber up without a new base copy."
PostgreSQL,senior,"In PostgreSQL, what is the durability vs latency ladder of synchronous_commit values with streaming replicas?",off/local control only local flush. on waits for a synchronous standby to flush WAL. remote_apply waits until replay has occurred. Each step reduces data-loss window and increases COMMIT stalls when the standby is slow.
PostgreSQL,senior,"In PostgreSQL, when does HOT fail to save you from index bloat?","Heap-Only Tuples work when the new row version fits on the same page and indexed columns do not change. If the update is wide, indexed columns change, or the page is full, you get new index entries and autovacuum has more to chew. Fillfactor and less-wide updates are the usual levers."
PostgreSQL,senior,"In PostgreSQL, why can index-only scans still hit the heap even with a covering INCLUDE index?","Visibility is stored in the heap, not the index. The visibility map lets PostgreSQL skip heap fetches only for all-visible pages. Without aggressive vacuum/freeze, an index-only plan still random-reads the table."
PostgreSQL,senior,"In PostgreSQL, why do GIN indexes on jsonb or arrays punish write-heavy tables?","One row produces many key postings. Pending lists, page merges, and vacuum of those postings generate more WAL and CPU than a single btree key. They shine for containment reads, not for high-rate updates of the documents."
PostgreSQL,senior,"In PostgreSQL, why is CREATE INDEX CONCURRENTLY safer for uptime, and what can still go wrong?","It avoids a long ACCESS EXCLUSIVE lock by scanning twice and waiting out old snapshots. It can still fail if invalid indexes remain, if waiting transactions never end, or if it consumes enough I/O to impact production."
Python,senior,"In Python, are dicts thread-safe for counters?","No. Individual opcodes may be atomic; `d[k] += 1` is not. Use a lock, a queue to one owner, or multiprocessing with explicit sharing."
Python,senior,"In Python, what does a blocking call do to asyncio?","It owns the thread that runs the loop. Every other task waits. Use async libraries or offload with to_thread/executors, and never call time.sleep in a coroutine."
Python,senior,"In Python, what does cancellation actually cancel?",Python raises CancelledError at an await point that cooperates. A stuck C extension or a thread pool future may ignore it. Timeouts have to be designed at I/O boundaries you control.
Python,senior,"In Python, why is unpickling Redis cache a footgun?","pickle can reconstruct arbitrary objects and run code. If an attacker can write the cache key, they own the process. Use JSON/msgpack for untrusted or cross-trust data."
Redis,senior,"In Redis, AOF fsync always vs every second?","Always: less loss, more disk latency. Every second: you may lose about a second of acknowledged writes on crash. Durability is a chosen budget."
Redis,senior,"In Redis, hot key in Cluster: why don't extra nodes help?","One key maps to one slot on one primary. Idle nodes cannot serve that key. Split the key, cache locally, or change the model."
Redis,senior,"In Redis, list as a queue: what do you lose on LPOP + crash?","The job is gone from Redis. Use streams/consumer groups or BRPOPLPUSH-style patterns, and still keep durable truth elsewhere."
Redis,senior,"In Redis, noeviction vs allkeys-lru for a cache?","Cache: usually an LRU/LFU policy so the process keeps serving. noeviction makes writes fail when memory is full — better for data you must not drop, but then Redis is a poor fit as the only store."
Redis,senior,"In Redis, what are hash tags for?",{shared} prefixes force keys into the same cluster slot so MULTI/MGET/Lua can run. Over-tagging recreates a hot node.
Redis,senior,"In Redis, why Lua scripts for compare-and-set?",The script runs atomically on that instance's thread — no other command interleaves. It is not a cluster-wide transaction across slots.
Redis,senior,"In Redis, why can RDB fork stall a huge instance?",Fork + copy-on-write under writes spikes memory and can pause the process. Persistence is part of the capacity plan.
Redis,senior,"In Redis, why is Pub/Sub a bad audit log?","Fire-and-forget in-memory fanout. If you were disconnected, you missed it. No durable source of truth."
Redis,senior,What does Redis Cluster require of multi-key commands?,All keys in one command must live in the same hash slot. Hash tags `{user:42}` force that. Cross-slot MGET/MSET fail; the client must split the work or redesign the keyspace.
Redis,senior,Why is Redis a risky system of record for money?,"Durability is configurable and easy to weaken; there is no MVCC undo; a single FLUSHDB or bug is catastrophic; replication is usually async. Use it as a cache, lock, or fast ephemeral store, and put money in a database with a proper commit story."
Spring Boot,senior,"In Spring Boot, @Async self-invocation",Proxy-based; this.asyncMethod() runs synchronously on the caller thread. Put async methods on another bean.
Spring Boot,senior,"In Spring Boot, @Async vs transactions",The async body does not run in the caller's transaction. Submit after commit if the worker must see persisted rows.
Spring Boot,senior,"In Spring Boot, @ConfigurationProperties vs @Value","Same Environment, but typed groups, conversion, and metadata. Prefer it for operational config; @Value is a one-off expression."
Spring Boot,senior,"In Spring Boot, @Value default trap","${foo:localhost} silently ships localhost if foo is unset. Required prod keys should fail startup, not default."
Spring Boot,senior,"In Spring Boot, JMX door",HTTP lockdown does not close JMX. Remote JMX is another admin API for the same operations.
Spring Boot,senior,"In Spring Boot, OSIV / streaming",An open persistence context or ResultSet pins a connection through view rendering or stream consumption.
Spring Boot,senior,"In Spring Boot, OSIV and pools",The persistence context (and often a connection) stays open through rendering. Slow views hold pool slots and amplify saturation.
Spring Boot,senior,"In Spring Boot, REQUIRES_NEW via this","The inner propagation is ignored. No suspend, no new transaction — the 'audit in a separate tx' pattern silently fails."
Spring Boot,senior,"In Spring Boot, batch fetch size",Mitigates N+1 by IN-clause grouping. It does not make the view a legitimate place to load a graph.
Spring Boot,senior,"In Spring Boot, checkout timeout",Must be finite and shorter than the client/HTTP timeout so you fail fast instead of deadlocking the servlet pool.
Spring Boot,senior,"In Spring Boot, cluster math","instances × DataSources × maxPoolSize must stay under the database's max_connections, including idle sockets."
Spring Boot,senior,"In Spring Boot, context propagation","SecurityContext, MDC, and tenant ThreadLocals do not hop threads. Use a TaskDecorator (and restore/clear in finally)."
Spring Boot,senior,"In Spring Boot, debug with origins",Read the Environment/configprops origin for the key and the bound object. Do not argue from a memorized precedence list while three overlays exist.
Spring Boot,senior,"In Spring Boot, default @Async executor","Often SimpleAsyncTaskExecutor: new thread per task, no bound. Production code declares a named, bounded ThreadPoolTaskExecutor."
Spring Boot,senior,"In Spring Boot, default scope","Singleton: one instance per Spring container, shared across threads and requests. Mutable fields are shared mutable state."
Spring Boot,senior,"In Spring Boot, don't block the common pool","JDBC/HTTP inside @Async needs a dedicated pool sized to the dependency, not ForkJoinPool.commonPool()."
Spring Boot,senior,"In Spring Boot, don't do IO in a transaction","HTTP, queues, and sleep hold a checked-out connection. Do database work, commit, then call the world."
Spring Boot,senior,"In Spring Boot, entityManager and threads",Never share a raw EM as a singleton field. @PersistenceContext injects a proxy to the thread-bound persistence context.
Spring Boot,senior,"In Spring Boot, env and configprops","They dump the Environment, including secrets and origins. Public exposure is a credential leak. Sanitize is not a substitute for not exposing them."
Spring Boot,senior,"In Spring Boot, exhaustion symptom","Threads blocked in connection checkout, idle CPU, latency spike, then timeout. Not necessarily high DB CPU."
Spring Boot,senior,"In Spring Boot, fixes that actually work","Split into another bean, inject the proxy (self-inject / AopContext with exposeProxy), or use AspectJ weaving so the call is advised in-body."
Spring Boot,senior,"In Spring Boot, health checks",Do not let probes consume the last business connections. Reserve capacity or use a cheap check so incidents do not restart healthy-but-busy nodes.
Spring Boot,senior,"In Spring Boot, health details","Probes want a boolean. Details leak topology. Keep show-details for authenticated operators, not the internet."
Spring Boot,senior,"In Spring Boot, heapdump / threaddump","Memory and stack snapshots. Secrets, tokens, PII, lock graphs. Admin-only on a private port."
Spring Boot,senior,"In Spring Boot, hidden high-precedence sources","Command line, SPRING_APPLICATION_JSON, system properties, test inlined properties, and accidental local config files beat what is in the image."
Spring Boot,senior,"In Spring Boot, include=*","Enables the full attack surface (shutdown, mappings, dumps, env). Production should whitelist the few ids probes need."
Spring Boot,senior,"In Spring Boot, join fetch pitfall",Collection join fetch duplicates roots and fights pagination. Prefer two queries or a graph designed for the use case; DISTINCT is not always enough.
Spring Boot,senior,"In Spring Boot, leaks vs hold time",Unclosed connections and never-ending transactions permanently shrink the pool. Slow but closed transactions temporarily shrink it. Both page the same.
Spring Boot,senior,"In Spring Boot, library application.properties",Extra application.properties on the classpath collide. Libraries should not override app keys from a generic file.
Spring Boot,senior,"In Spring Boot, liveness vs readiness",Do not kill pods because a dependency is down. Split groups so liveness is process health and readiness is dependency health.
Spring Boot,senior,"In Spring Boot, management port",Bind actuators to a separate port that is not on the public load balancer. Still authenticate. Network policy is the real gate.
Spring Boot,senior,"In Spring Boot, n+1 shape",1 query for roots + 1 query per entity per touched association. List endpoints multiply this by page size.
Spring Boot,senior,"In Spring Boot, named pools","@Async(""name"") plus multiple executors isolate bulk work from latency-sensitive fan-out. One shared pool is a noisy neighbor."
Spring Boot,senior,"In Spring Boot, non-public @Transactional",Default Spring AOP does not advise private/package/protected methods. The annotation is a comment.
Spring Boot,senior,"In Spring Boot, objectProvider",Lookup API so a singleton can obtain the current scoped/prototype instance on each use instead of capturing it once.
