Section,Level,Question,Option A,Option B,Option C,Option D,Correct Answer
Python,junior,"In Python, a loop of nested functions is created as `funcs = [lambda: i for i in range(5)]`. Why do they all return 4?",lambda cannot capture loop variables in CPython.,"Closures bind the variable, not the value at definition; they all read the final `i`.","range(5) is lazy and only evaluated when the lambda runs, always as 4.","list comprehensions run in reverse, so i is always 4.",B
Python,junior,"In Python, a module-level `client = ApiClient()` is created at import. Tests and apps fight over it. What is the issue?",Imports cannot run constructors.,"Import-time globals are a hidden singleton: hard to fake, created even if unused, and shared across tests.",Module-level objects are recreated on every function call.,CPython isolates module globals per request.,B
Python,junior,"In Python, why can `list.append` in a loop be fine, but repeated `list = list + [x]` be quadratic?",append reallocates exponentially (amortized O(1)); concatenating two lists copies on every step.,append copies the whole list; `+` mutates in place.,Both are O(1); the quadratic story is a myth.,`+` uses C speed and is always faster than append.,A
Python,junior,"In Python, why does `if user_ids:` treat an empty list as false, and why is that a trap when `user_ids` can also be `None`?","Empty list and None are the same object, so you cannot distinguish them.","Both are falsy, so you cannot tell 'no rows' from 'caller forgot to pass the list' unless you check `is None` first.",Empty lists are truthy in CPython; only None is falsy.,"`if user_ids` always copies the list, so None would throw before the test.",B
Python,junior,"In Python, why is `datetime.now()` without a timezone a production footgun?",Naive datetimes cannot be stored.,They look like timestamps but do not know their zone; DST and UTC conversion will silently be wrong.,now() always returns UTC.,Python forbids naive datetimes in 3.x.,B
Python,junior,"In Python, you catch `except Exception` around a web handler and return 200. What did you hide?",Nothing; Exception does not include programming errors.,"Almost every failure, including bugs you needed to see; the client thinks success while you swallowed the traceback.",Only network errors; SyntaxError still propagates.,"Exception is BaseException, so you also catch KeyboardInterrupt on purpose.",B
Python,junior,"In Python, you iterate a dict and delete keys as you go (`for k in d: del d[k]`). What happens?",CPython always allows mutating the dict while iterating.,RuntimeError: dictionary changed size during iteration — iterate on `list(d)` if you must delete.,Deleted keys are skipped silently and the loop finishes.,"The dict freezes a snapshot, so deletes never affect the loop.",B
Python,junior,You spawn 8 threads to crunch CPU-bound numpy-free Python loops on an 8-core machine. Why don't you get 8× speedup?,"The GIL allows only one thread at a time to execute bytecode, so CPU-bound threads take turns.",Threads cannot run in CPython at all.,Python processes cannot use more than one core without CUDA.,The OS will not schedule more than one Python thread per process.,A
Redis,junior,"In Redis Cluster, a key maps to a hash slot. Multi-key commands work only when:",All keys live in the same slot (often forced with a hash tag),You use KEYS first,AOF is enabled,Eviction is noeviction,A
Redis,junior,"In Redis, KEYS * in production is dangerous because:",It is eventually consistent,"It is a blocking, whole-keyspace scan on a single-threaded server",It evicts all keys,It only works in Cluster,B
Redis,junior,"In Redis, RDB snapshots vs AOF: you need to lose at most a few milliseconds of writes on crash. Which direction is right?",RDB every hour is enough because snapshots are always up to the last command.,AOF with frequent fsync (or hybrid) replays recent writes; RDB-only can lose everything since the last snapshot.,Neither persists; Redis is memory-only by design and cannot survive a process crash.,RDB is always more durable than AOF because it is binary.,B
Redis,junior,"In Redis, RDB vs AOF in one line:","RDB is a point-in-time snapshot; AOF logs writes for a tighter durability window, at more I/O cost",AOF is only for cluster slots,RDB and AOF are identical,RDB makes Redis multi-threaded,A
Redis,junior,"In Redis, TTL on a cache key means:",The database row is deleted,Redis may drop the key after expiry; the source of truth must still exist elsewhere if you need it,The key is persisted to RDB immediately,Replicas cannot read it,B
Redis,junior,"In Redis, a cache stampede (thundering herd) is:",AOF rewrite using too many cores,Many clients missing the same expired key at once and all hitting the database together,Cluster slot migration,Replica promotion,B
Redis,junior,"In Redis, a huge value on one hot key is a problem even with Cluster because:",Slots cannot hold strings,"That key still lives on one node and is served by one command loop; Cluster shards keys, not a single giant value",RDB cannot snapshot large keys,TTL cannot apply,B
Redis,junior,"In Redis, cache stampede: a hot key expires and 2,000 app servers miss at once. What is the real failure mode?",Redis refuses the first GET after expiry.,"They all stampede the origin (DB) together; Redis itself is usually fine, the database is not.",AOF rewrite blocks until every server has the new value.,Cluster hash slots reshuffle and drop the key forever.,B
Redis,junior,"In Redis, if the process restarts and you only have occasional RDB snapshots, you should expect:",Zero data loss always,Loss of writes since the last snapshot unless AOF (or a real database) covers them,Automatic replay from clients,Slot counts to reset,B
Redis,junior,"In Redis, maxmemory is hit and the policy is allkeys-lru. What happens to a new SET?",Redis refuses all commands forever,"Redis evicts some existing key to free memory, then accepts the write",Redis spills to disk as the source of truth,Redis converts to AOF-only,B
Redis,junior,"In Redis, noeviction as a maxmemory policy means:",Keys never expire,Writes that need memory fail instead of dropping other keys,Redis becomes the source of truth,Cluster slots merge,B
Redis,junior,"In Redis, pipelining helps throughput because:",It makes Redis multi-threaded,"The client sends many commands without waiting for each round trip, feeding the single-threaded loop more work per RTT",It disables eviction,It writes AOF twice,B
Redis,junior,"In Redis, reading from a replica can be stale because:",Replicas use Scan only,Replication is asynchronous; a write on the primary may not have arrived yet,Replicas ignore AOF,Replicas always evict first,B
Redis,junior,Redis executes commands on a primary single thread (per process). A slow KEYS or huge SUNION therefore:,Runs on extra cores automatically,Blocks other clients on that instance until it finishes,Is always O(1),Only affects AOF rewrite,B
Redis,junior,Redis runs commands on one main thread. What does that mean when one KEYS * or a huge SUNION hits production?,Other clients keep getting p95 latency because Redis pipelines around the slow command.,"That command holds the thread; all other commands wait, so the whole instance stalls.","Redis forks a thread per command, so only that key is slow.",The slow command is automatically moved to a replica.,B
Redis,junior,"Why is Redis a cache or speed layer, not the system of record, in most architectures?",It cannot store strings,"Memory, eviction, async replicas, and restart/restore behavior mean data can disappear; durable truth belongs in a database designed for it",Redis cannot set TTLs,Cluster mode forbids writes,B
Spring Boot,junior,"In Spring Boot, a `@Transactional` method in the same class calls another `@Transactional` method on `this`. Why might the inner transaction settings be ignored?",Spring transactions only work on private methods.,"Self-invocation does not go through the proxy, so the inner advice never runs.",Nested transactions are illegal in Spring and fail startup.,@Transactional only applies to REST controllers.,B
Spring Boot,junior,"In Spring Boot, open-in-view is enabled. A controller returns an entity; the view touches a lazy collection. What is the hidden cost?","The session is closed, so you always get LazyInitializationException (so the flag does nothing).","The DB connection stays open until the response is rendered, turning view work into connection-pool occupancy and N+1 queries.",Hibernate upgrades all lazy fields to eager at compile time.,The collection is loaded from Redis instead of the database.,B
Spring Boot,junior,"In Spring Boot, your API is fast in tests but in production the pool of 10 JDBC connections is always busy. What should you look at first?",Increase Tomcat threads without looking at connection hold time.,"Long transactions, Open-in-view, and queries that hold connections while calling other services.",Disable HikariCP; Spring will pipeline SQL on one connection.,Switch to `DriverManager.getConnection` per request for fairness.,B
AI Agents,senior,A good agent trace lets you answer:,"Which step first departed from the gold policy, with the exact arguments and observation",Only whether the user clicked like,Only total GPU hours for the company,Only the final BLEU score,A
AI Agents,senior,A human-in-the-loop approval node is a state-machine feature. Skipping it in a free-form agent typically happens because:,The model can call the side-effecting tool directly if that tool is in scope,Graphs magically wrap every tool,Timeouts insert approvals,Temperature 0 inserts approvals,A
AI Agents,senior,A retry storm from an agent usually looks like:,"Many identical side-effecting calls after a slow 500, multiplying load and duplicate actions",A single well-bounded backoff,A user-visible stop after N errors,Jittered exponential backoff with a cap,A
AI Agents,senior,A token budget on an agent run should include:,"System, history, each tool observation, and all model outputs—not only the last answer",Only the user’s first sentence,Only embeddings,Only logs stored on disk,A
AI Agents,senior,An agent retries a 'create charge' tool on timeout. The first call may have succeeded. What do you need?,More retries; timeouts mean the charge did not happen.,Idempotency keys / a ledger you check before charging; retries of side-effecting tools are duplicates waiting to happen.,Agents cannot call payment APIs.,The model remembers the first charge in weights.,B
AI Agents,senior,"For AI agents, a tool schema mismatch (string vs array) should be handled by:","Rejecting before execution, returning a structured error the model can repair, counting against the retry budget",Executing anyway and hoping,Raising temperature and resending to the tool,Dropping traces of the bad call,A
AI Agents,senior,"For AI agents, a “search_files(glob)” tool plus “write_file(path, contents)” together are over-permissioned if the product only needs:",Read a ticket and post a comment,Full repository maintenance,A migration agent with human approval already in front,A coding agent in an isolated VM you accept,A
AI Agents,senior,"For AI agents, free-form looping is a poor fit when:","Compliance requires that refunds never precede identity verification, no matter what the model wants",The user is exploring an unknown codebase,Tool order cannot be known in advance,You are prototyping a research assistant,A
AI Agents,senior,"For AI agents, in a tool loop, the model’s “plan” is only as good as:",The observation it actually received; a truncated or lying tool result will steer the next call,The parameter count of the base model alone,The absence of a stop token,The color of the UI,A
AI Agents,senior,"For AI agents, parallel tool calls help latency but complicate retries because:","Partial success: some calls commit, others fail; you need per-call status, not one big undo",Parallelism forbids schemas,Retries become unnecessary,Traces cannot record more than one span,A
AI Agents,senior,"For AI agents, scratchpad vs retrieved semantic memory: which statement is right?",Scratchpad is in-run working notes; semantic memory is an external store you query. Mixing them without a write policy causes stale or leaked state,They are the same tensor,Scratchpad survives process death by default,Semantic memory cannot be versioned,A
AI Agents,senior,"For AI agents, tool timeouts should be:","Shorter than the remaining run budget, with a defined cancel/idempotency story",Infinite so the agent never fails,Hidden from the model so it assumes success,Always equal to one millisecond,A
AI Agents,senior,"For AI agents, when is “just add memory” the wrong fix?","The failure is a missing tool permission or a bad policy, and extra history only gives the model more ways to repeat it",The user refers to something said two turns ago inside the window,You retrieve the correct profile field,You store an audit log for humans,A
AI Agents,senior,"For AI agents, you log thoughts in traces. A privacy issue is:",Thoughts and tool args can contain user secrets and must have retention and access controls like other prod logs,Traces cannot contain text,Thoughts are always synthetic and non-sensitive,GDPR never applies to logs,A
AI Agents,senior,Two agents share a scratchpad in natural language as their only memory. Why does this rot?,Natural language cannot represent tasks.,"There is no schema, no conflict resolution, and no compact state — they overwrite, hallucinate prior steps, and diverge. Prefer structured state.",Scratchpads are encrypted and cannot be shared.,You need at least 12 agents for memory to work.,B
AI Agents,senior,You can replace a free-form agent with a state machine that still calls an LLM at specific nodes. When is that the better architecture?,Never; it reduces intelligence.,"When most transitions are known and you want to constrain tools per state (support, KYC, deploy pipelines).",Only when the LLM is offline.,State machines cannot call tools.,B
AI Agents,senior,You should replace an agent with a compiled workflow when you notice:,The same two or three tool sequences succeed almost always,Every ticket needs a unique research path,Tools do not exist yet,Users never repeat intents,A
AWS & S3,senior,A 'manifest.json' object listing parts is a common S3 pattern because:,S3 cannot store more than one object,The bucket is not an index; you explicitly store the catalog you would have queried in a database,Manifests disable prefix hotspots automatically,Manifests provide multi-object ACID,B
AWS & S3,senior,A Lambda processes SQS and writes S3. The Lambda times out after the PUT but before delete. What happens?,Exactly-once; SQS will not redeliver,The message returns after visibility timeout; you may PUT again — object writes and queue acks need idempotency keys,S3 rolls back the object,The prefix locks the key,B
AWS & S3,senior,A data lake on S3 plus Athena/Spark works when the object layout is:,One tiny file per event in a single hot prefix,"Partitioned, reasonably sized files (columnar) so listing and scan costs stay bounded",Random 1-byte objects for entropy,Unchecksummed copies only,B
AWS & S3,senior,CloudFront in front of S3 helps popular reads. Origin load still spikes when:,Checksums are enabled,"Cache misses, low TTL, or a unique-key stampede all go to the same prefix/object",SQS is at-least-once,Objects are immutable,B
AWS & S3,senior,If-Match / If-None-Match on S3 give you optimistic concurrency for one key. They do not give you:,A way to avoid clobbering a single object,Multi-key transactions like a database,ETag-based checks,A conditional PUT,B
AWS & S3,senior,"In AWS / S3, DLQs exist on SQS because at-least-once plus poison messages would otherwise:",Make S3 eventually consistent,"Retry forever, blocking the queue; you isolate failures without pretending delivery was exactly-once",Corrupt checksums,Create prefix hotspots,B
AWS & S3,senior,"In AWS / S3, FIFO SQS gives ordering per message group and exactly-once processing attempts inside a window, but you still:",Skip idempotency forever,"Design consumers for retries, replays, and downstream side effects that may run more than once",Use S3 listing for locks,Disable checksums on the payload,B
AWS & S3,senior,"In AWS / S3, SQS delivers the same message twice to two consumers. What must your consumer assume?",Duplicates are a bug; open a ticket instead of making work idempotent.,"At-least-once delivery: make the handler idempotent (dedupe key, conditional write) or you double-charge/double-apply.",SQS is exactly-once if you use long polling.,FIFO queues never redeliver after a visibility timeout.,B
AWS & S3,senior,"In AWS / S3, a Lambda lists a prefix, then processes each key. The prefix has 5 million objects. Why does this design collapse?",LIST is strongly consistent but returns at most 1 key.,"LIST is paginated and expensive; it is not a work queue. Use a manifest, S3 Inventory, or an event (SQS) per object.",Lambda cannot read S3.,"S3 LIST locks the prefix, so only one Lambda can run.",B
AWS & S3,senior,"In AWS / S3, lifecycle transitions to colder storage classes are about access shape. A bad fit is:",Objects you rarely read,Objects you mutate or read with tight latency all day — retrieval cost and delay dominate,Checksummed backups,"Large, infrequent archives",B
AWS & S3,senior,"In AWS / S3, multipart upload is for large objects. Incomplete parts become a cost leak unless you:",Use sequential date prefixes,Abort abandoned uploads and set a lifecycle rule on incomplete parts,Store parts in SQS,Turn off checksums mid-upload,B
AWS & S3,senior,"In AWS / S3, request costs for 1 billion 1KB objects vs one 1GB object differ because:",Durability percentages change,PUT/GET/LIST are billed per request; tiny objects turn storage into an API-tax problem,Checksums fail on 1KB,SQS cannot notify 1GB objects,B
AWS & S3,senior,"In AWS / S3, versioning helps durability and recovery. It does not help you if:",You overwrite by mistake and want the old bytes,"You needed a queryable current-row store; versions are extra objects, not an OLTP log you can SQL",You want protection against overwrite,You want to retrieve a prior checksummed copy,B
AWS & S3,senior,"In AWS / S3, you version objects and overwrite a key 1 million times a day. What cost/ops surprise hits later?",Versions are free and hidden.,Every overwrite keeps a full previous object (until you expire versions); list/delete/lifecycle work and storage grow without bound.,S3 coalesces versions into a delta log automatically.,"Versioning only stores metadata, never bytes.",B
AWS & S3,senior,S3 Event Notifications to SQS can fire more than once for the same object change. Downstream must:,Treat notifications as exactly-once ledger entries,Dedupe on object key + version/etag and stay idempotent,Disable copies in S3,Use listing instead of events,B
AWS & S3,senior,S3 Select / Glacier select still does not replace a warehouse when:,Objects are larger than 400KB,"You need repeated ad-hoc joins, mutating indexes, and concurrent transactional updates",Checksums are present,Keys have prefixes,B
AWS & S3,senior,Storing session state only in S3 for a low-latency API is usually wrong because:,S3 cannot be private,Object GET/PUT latency and no cheap mutate path lose to an in-memory or purpose-built session store,Checksums add minutes,Prefixes cannot include user ids,B
B-tree & LSM,senior,A B-tree checkpoint/WAL design vs LSM WAL: what is the conceptual difference for user writes?,B-tree WAL protects in-place page mutations; LSM WAL protects memtable contents until flush,Only LSM uses a WAL,Only B-trees use a WAL,Neither needs a WAL if fsync is used on data files,A
B-tree & LSM,senior,A B-tree update in place looks cheaper than LSM for a single row. When does the B-tree lose?,Never; in-place updates are always fewer bytes to disk.,When the working set of dirty pages is larger than cache and writes become random I/O across the tree.,Only when using hash indexes.,When the table has no WAL.,B
B-tree & LSM,senior,A B-tree update of a 100-byte row that lives in a 16 KiB leaf: what is the first-order write-amplification story?,You write ~100 bytes because only the row changes,"You typically rewrite the whole leaf (and maybe ancestors on split), so amplification is page-sized not row-sized",Write amplification is always 1 because of WAL grouping,Only the bloom filter page is rewritten,B
B-tree & LSM,senior,A write stall in an LSM engine is most often a symptom of what imbalance?,Bloom filters are too accurate,"Flush/compaction cannot keep up with ingest, so memtables or L0 files pile up and writes are throttled",The WAL is too small to hold one record,Range scans are disabled,B
B-tree & LSM,senior,"For B-trees and LSM trees, a workload is update-heavy on a small key set. Which engine property should you worry about first for LSM?",B-tree leaf splits,"Compaction must keep rewriting those hot keys, so write amplification and tombstone/version churn stay high",Bloom filters cannot represent updates,Range scans become hash lookups,B
B-tree & LSM,senior,"For B-trees and LSM trees, during an LSM range scan, bloom filters usually help how much?","They eliminate almost all SSTables, same as a point get","Little or none: a range may overlap many files, so you still merge-sort those overlapping runs",They convert the scan into a hash lookup,They replace the need for a block index,B
B-tree & LSM,senior,"For B-trees and LSM trees, leveled compaction vs size-tiered: which statement about amplification is the useful default intuition?",Leveled usually trades higher write amplification for lower read and space amplification,Size-tiered always has both lower write and lower read amplification,Leveled never rewrites data,The two strategies have identical amplification; only file names differ,A
B-tree & LSM,senior,"For B-trees and LSM trees, range scans on an LSM often pull from several levels. What extra mechanism still helps point lookups more than ranges?","Bloom filters, which do not apply cleanly to arbitrary ranges.","The WAL, which is sorted by key.","Prefix compression, which makes ranges O(1).","Memtable skip lists, which replace SSTables for scans.",A
B-tree & LSM,senior,"For B-trees and LSM trees, space amplification in LSM is high when…",Obsolete versions and overlapping runs have not been compacted away yet,Bloom filters use a few bits per key,The WAL is fsynced,The memtable is empty,A
B-tree & LSM,senior,"For B-trees and LSM trees, why does a leveled LSM often bound point-read I/O to roughly one file per level (plus L0)?",Each level (except L0) keeps key ranges mostly non-overlapping,Only one SSTable exists in the whole tree,Bloom filters store the level number of every key,The memtable is searched instead of disk,A
B-tree & LSM,senior,"For B-trees and LSM trees, why is WAL + memtable not enough by itself for long-term LSM health?",The WAL already stores sorted SSTables,"Without flush and compaction, recovery time, file count, and obsolete versions grow without bound",Memtables cannot hold more than one key,Bloom filters cannot be built from SSTables,B
B-tree & LSM,senior,"For B-trees and LSM trees, write amplification in an LSM is high. Compaction is always running. What is the engine spending I/O on?","Rewriting the same keys into new sorted runs as they age through levels, plus dropping tombstones.",Updating B-tree leaf pointers on every write.,Rebuilding Bloom filters for the WAL.,fsync of the memtable on every GET.,A
B-tree & LSM,senior,"For B-trees and LSM trees, you flush tiny memtables very frequently. What is the likely first-order effect?",Lower write amplification because files are small,"Many overlapping SSTables, worse read amplification, and more compaction work later",Bloom filters become exact,Range scans no longer need merge iterators,B
B-tree & LSM,senior,"For B-trees and LSM trees, you need both fast random writes and efficient large range scans. What is the honest tradeoff to explain?",LSM favors ingest; scans pay merge cost across runs. B-trees favor locality; ingest pays random page writes,"One structure always wins both, so pick either",Bloom filters make LSM scans as cheap as B-tree scans,Compaction removes the need to think about scans,A
B-tree & LSM,senior,"For B-trees and LSM trees, you undersize bloom filters so the false-positive rate is high. What happens to LSM point-read amplification?",Nothing; bloom filters are only used in compaction,More SSTables are opened and their indexes probed even though the key is absent,Range scans become cheaper,The WAL grows faster,B
B-tree & LSM,senior,Why can a B-tree still beat LSM on a point get even when LSM has bloom filters?,"A well-cached B-tree often needs one leaf I/O (plus a few internal nodes), while LSM may still miss cache on several files",B-trees never touch disk,Bloom filters always return false,LSM cannot store point keys,A
C++,senior,A data race on a non-atomic int is 'just a torn read' — why is that the wrong mental model in C++?,Data races are defined to return the last write.,"A data race is undefined behavior: the compiler may miscompile the surrounding code, not merely tear the int.","The memory model only applies to atomics, so racy ints are always fine.",POSIX threads make all ints atomic.,B
C++,senior,A template is defined only in a .cpp file. Other TUs that use it fail to link. Why?,Templates cannot be in cpp files ever.,"The compiler needs the definition visible at instantiation, or you must explicit-instantiate; otherwise the linker cannot find the specialization.",You forgot `export template` which C++20 always requires.,The ODR allows one cpp to serve all TUs automatically.,B
C++,senior,"In C++, a `std::function` callback captures `this` and is stored after the object dies. What is the failure?",std::function extends the object's lifetime.,A dangling `this`; the callback is a use-after-free when invoked. Own the callback lifetime or capture what you need by value.,Lambdas cannot capture this.,The compiler rejects storing such functions.,B
C++,senior,"In C++, exception from a destructor during stack unwinding. What does the language do?",It nested-catches the new exception.,"If a destructor throws while another exception is in flight, the process calls std::terminate.","Destructors cannot throw by language rule, so this is a compile error.",The original exception is replaced silently.,B
C++,senior,"In C++, shared_ptr copies in a tight loop show up in profiles. What are you paying for?",A mutex on every dereference of `*ptr`.,Atomic refcount updates and an extra control-block allocation; unique_ptr or a borrowed raw/span would avoid it when sharing is not required.,Virtual dispatch on every copy.,shared_ptr copies are free after inlining.,B
C++,senior,"In C++, you need a concurrent queue. Rolling your own with one mutex is 'too slow', so you write a lock-free queue. What should you fear first?",Lock-free is always faster and easier to prove.,"ABA, memory-order mistakes, and UB that only reproduces on the other CPU; a mutex queue is often the right first product.",mutex is illegal on more than two threads.,The standard provides a portable lock-free queue you must use.,B
C++,senior,"In C++, you pass a `std::initializer_list` that you stored for later. Why can it dangle?",initializer_list is a pair of pointers into a temporary array whose lifetime is the full expression.,initializer_list owns a vector.,It is a container like vector and is safe to store.,The backing array is in static storage.,A
C++,senior,You return a `std::vector` by value. Why is that usually the right API in modern C++?,It always heap-allocates twice; callers should pass an output pointer.,NRVO/move make it cheap; returning by value states ownership clearly vs a raw pointer.,vector cannot be moved.,Return-by-value copies every time before C++23 only.,B
Cassandra,senior,An LSM-style memtable flush in Cassandra is most analogous to which cost you already pay in the storage engine?,Token hashing,Write path is fast sequential; later compaction and many SSTables create read amplification for that partition,Gossip heartbeats,Native CQL parsing,B
Cassandra,senior,"In Cassandra, LOCAL_QUORUM vs QUORUM in a multi-DC cluster: what did you change?",RF in every DC,"You wait for a majority in the local DC only, not a cluster-wide majority, cutting cross-DC latency",Tombstone gc grace,The number of clustering columns,B
Cassandra,senior,"In Cassandra, LWT on a hot partition is especially painful because…",Paxos storage is on a different cluster,Each LWT serializes competing proposers on that partition; hot keys queue behind in-progress rounds,LWT disables the partitioner,LWT requires RF=1,B
Cassandra,senior,"In Cassandra, a coordinator stores many hints for a down replica. What operational risk follows?",Hints improve read latency forever,"Hint replay can storm the recovering node, and hints can expire so divergence remains until repair",The down replica is removed from RF automatically,LWT becomes free,B
Cassandra,senior,"In Cassandra, a partition for one customer grew to tens of GB. Queries to that customer are slow even at CL=ONE. What is the structural problem?",CL=ONE cannot read large partitions; you must use ALL.,The whole partition is the unit of co-location; one huge partition is a single-node hotspot and a wide-row read tax.,"Cassandra automatically splits partitions at 100 MB, so this cannot happen.",Large partitions are stored in S3 and each read is a restore.,B
Cassandra,senior,"In Cassandra, a query with no restriction on partition key but a clustering-column filter is slow. Why?",Clustering filters require LWT,"Without a partition key, Cassandra cannot target a replica set; it must scatter or reject/filter broadly",Bloom filters only work on clustering columns,QUORUM cannot be used without clustering columns,B
Cassandra,senior,"In Cassandra, for RF=3, why is write QUORUM + read QUORUM the classic 'strong enough' pairing?",It contacts every node in the cluster,W+R>RF so the read set and write set must overlap on at least one replica,QUORUM ignores RF,It disables hinted handoff,B
Cassandra,senior,"In Cassandra, range deletes and TTL expiry create many tombstones. Which read is most likely to time out?",A point get of a live key in a tiny partition with no deletes,A slice scan that must walk and skip huge runs of tombstones before finding live rows,A LOCAL_QUORUM write,A schema-agreement check,B
Cassandra,senior,"In Cassandra, read repair vs full/incremental anti-entropy repair: how should you think about them?",They are identical background jobs,Read repair may fix replicas touched by a query; anti-entropy repair walks token ranges to reconcile even cold data,Read repair rewrites the schema,Anti-entropy repair only runs on the coordinator's memtable,B
Cassandra,senior,"In Cassandra, repair has not run for longer than gc_grace_seconds after many deletes. What resurrection bug are you exposed to?",Tombstones expired while a replica still has the old data; repair can copy the old row back.,Hinted handoff deletes all tombstones cluster-wide.,"gc_grace only affects TTL columns, not DELETE.",Repair refuses to run if tombstones expired.,A
Cassandra,senior,"In Cassandra, why can hinted handoff not replace repair?",Hints only cover some missed writes for a limited window; they do not reconcile all replica divergence,Hints always corrupt data,Repair cannot run if hints exist,Hints only work at CL=ALL,A
Cassandra,senior,"In Cassandra, why is 'RF=3, CL=QUORUM, but NetworkTopologyStrategy with RF=3 in only one DC' a different failure domain than two DCs of RF=3?",It is not; RF is global,"Quorum is computed from the keyspace's replica placement; one DC of 3 means a DC outage loses quorum, unlike per-DC RF=3 with LOCAL_QUORUM",Consistency level ignores replica placement,Two DCs always require CL=ALL,B
Cassandra,senior,"In Cassandra, you model 'all events for a user' as partition=user_id, clustering=time. What hot-partition pattern should you expect?",Users are perfectly balanced by definition,Celebrity/hot users concentrate writes and reads on one partition and its replica set,Clustering by time spreads data across all tokens,QUORUM automatically shards hot users,B
Cassandra,senior,"In Cassandra, you write QUORUM and read ONE. What consistency property did you give up?",Durability of the commit log,The guarantee that the read intersects the write quorum; you can read a stale replica,The partition key hash,The ability to compact SSTables,B
Cassandra,senior,"In Cassandra, you write QUORUM and read QUORUM with RF=3. Why is this still not a linearizable compare-and-set for two clients updating the same cell?",QUORUM already provides linearizability for all writes.,Last-write-wins timestamps can still lose an update; you need LWT/Paxos (or an external consensus) for a true CAS.,QUORUM reads always see the latest write if the clocks are NTP-synced.,Cassandra serializes all writes to a partition through a single leader like Raft.,B
Cassandra,senior,Why does Cassandra still need gc_grace-style delay before dropping tombstones?,To keep bloom filters warm,A replica that was down could otherwise resurrect deleted data after tombstones are gone,QUORUM counts tombstones as live votes,LWTs require tombstones forever,B
Data Structures & Algorithms,senior,"In data structures and algorithms, a UI table sorts by selected column. Rows with equal values jump around every click. Users complain. Fix?","Use a stable sort, or add a hidden unique tie-breaker (original index) so the order is deterministic",Switch from array to linked list of rows,BFS the table model,Put rows in a Bloom filter,A
Data Structures & Algorithms,senior,"In data structures and algorithms, a priority queue of tasks also needs 'cancel task by id.' Plain binary heap problem?",Find-by-id is not a heap operation — keep a hash from id → heap index (or a tree of tasks) so decrease-key/delete is possible,Heaps already index by arbitrary id,Cancel is a BFS of the heap array,Use a Bloom filter as the heap,A
Data Structures & Algorithms,senior,"In data structures and algorithms, an LRU cache is a hash map plus a doubly linked list. Why both?",The list gives O(1) lookup; the map gives recency.,The map finds the node in O(1); the list moves that node to most-recent in O(1) and evicts the tail in O(1).,The map is only for persistence; LRU can be a list alone in O(1).,A heap would be strictly better for LRU.,B
Data Structures & Algorithms,senior,"In data structures and algorithms, bloom filter at 1% false positive, you then always fetch the DB on 'yes.' What did you actually save?",Negative lookups skip the DB; positives (true and false) still pay the DB round trip — win is skewed to mostly-miss workloads,You saved the DB on all yes answers,False positives delete DB rows,The filter replaces the DB for yes and no,A
Data Structures & Algorithms,senior,"In data structures and algorithms, cache with consistent hashing. Client hashes to node A; A misses and fills from DB. Node A is added/removed and the key now lives on B, which is empty. User-visible issue?",Those keys thundering-herd the DB until B fills — consistent hashing reduces movement but does not zero it; replicas/shadow fills exist for that,Consistent hashing forbids misses after a membership change,LRU on B automatically contains A's memory,Bloom filters migrate the bytes,A
Data Structures & Algorithms,senior,"In data structures and algorithms, consistent hashing without virtual nodes, 3 physical caches of unequal capacity. Typical pain?",Arc sizes are lumpy — one node owns a huge key range; virtual nodes (many labels per physical) smooth load,All keys hash to node 0 by definition,Union-find is required to split the ring,LRU cannot run on a ring,A
Data Structures & Algorithms,senior,"In data structures and algorithms, consistent hashing without virtual nodes: one cache host dies. Why is the remap worse than it should be?","All keys must move to a random new host, not just the dead one's.","Only the dead node's keys should move, but without virtual nodes load was already skewed and neighbors absorb a huge slice.",Consistent hashing requires a coordinator to rewrite every key.,Dead nodes keep their keys until a full rehash.,B
Data Structures & Algorithms,senior,"In data structures and algorithms, graph of a social network: find people within 2 hops. Why BFS beats DFS here?",You care about distance layers; BFS emits level 1 then 2 and can stop. DFS can wander to hop 40 before it has finished hop 2,DFS cannot mark visited nodes,BFS cannot handle cycles,Heaps compute hop count faster than queues,A
Data Structures & Algorithms,senior,"In data structures and algorithms, hash table vs balanced tree for a language runtime dictionary. Hash is faster on average. When do you still pick the tree?","You need worst-case bounds, ordered iteration, or keys that are expensive/adversarial to hash — trees give comparable keys an order hash does not",Trees always beat hashes on point lookup,Heaps iterate in hash order,Linked lists iterate faster than both,A
Data Structures & Algorithms,senior,"In data structures and algorithms, kruskal-style clustering: merge closest pairs until k clusters. Why union-find instead of rerunning DFS?",Each merge and 'same cluster?' is cheap with disjoint sets; DFS from scratch every edge is repeating connectivity work,DFS cannot detect connected components,Heaps find components faster than union-find,Bloom filters cluster by hash collisions on purpose,A
Data Structures & Algorithms,senior,"In data structures and algorithms, online connectivity: unions arrive, and you also need the size of each component. Union-find tweak?",Store subtree/component size on the root; union by size and add sizes on merge — queries read the root's size after find,Run BFS from every node after each union,Put components in a max-heap keyed by an arbitrary id,Hash each pair of nodes,A
