Question,Option A,Option B,Option C,Option D,Correct Answer
A HashMap lookup misses an object that was previously put with an equal key. What contract break is the most likely cause?,equals is reflexive but hashCode is never called for stored keys,equals is true for two keys whose hashCode values differ,hashCode is cached once at construction and never changes,compareTo is inconsistent with equals but hashCode is consistent,B
A bounded queue plus AbortPolicy is preferred under overload because:,"It converts overload into a fast failure the caller can shed, retry, or trip a breaker on",It guarantees every task eventually runs,It disables GC,It raises thread priority,A
A common HTTP-client antipattern: unbounded pool queue in front of a slow dependency. What happens to the inbound request threads?,They fail immediately with 503,"They block on Future.get/callback lag while the executor queue absorbs more calls, exhausting the inbound pool too",They are migrated to the executor automatically,They skip the client timeout,B
A correct hashCode for a class with several fields should:,XOR System.identityHashCode of each field only,"Combine the same fields equals uses, with a mixing function that spreads bits",Return a constant to maximize cache hits,Delegate to Object.hashCode to preserve identity,B
A large object that does not fit in young generation is typically:,Rejected with OutOfMemoryError immediately,"Allocated directly in old generation (or a large-object space), skipping young survival",Split across eden and stack,Stored in metaspace,B
"A long/double field on a 64-bit JVM without volatile: is a torn read still possible, and is visibility guaranteed?","Atomicity of 64-bit writes is not the same as HB; without a sync edge, another thread may never see the write at all",long is always sequentially consistent,The JMM makes all 64-bit fields volatile,Torn reads are the only issue; visibility is automatic,A
A record's generated equals/hashCode vs a mutable class: which production rule still applies?,Records may omit hashCode because components are final,Do not mutate record-equivalent state after the instance is used as a hash key; records just make that state explicit,Records hash only the first component,Mutable classes cannot implement equals,B
A scheduled executor with an unbounded delayed queue plus a slow task causes:,Tasks to skip automatically,"Schedule pile-up: overlapping runs queue up, delay grows without bound, heap and lag explode",The scheduler switches to a bounded queue,Fixed rate becomes fixed delay automatically,B
A service allocates huge short-lived byte[] for each request. Young GC is frequent and old gen still grows. Best first hypothesis?,"The arrays are humongous/large and allocated in old/humongous space, or they survive because the request spans a young GC",byte[] is never collected,The compiler boxes each byte,Promotion only happens for objects with finalizers,A
"A service allocates short-lived objects very fast and young-GC is fine, but old-gen grows. What is a likely leak pattern?","Escape analysis failed, so every allocation is on-heap — that always grows old gen.","Caches, thread-locals, unterminated pools, or listener lists promoting objects that are never released.","The JIT moved objects to native memory, which Java reports as old gen.",G1 never collects old gen unless you call System.gc().,B
A sudden spike of promotions during a traffic burst is most often caused by:,Young generation / survivor spaces too small for the live set of the burst,Too many daemon threads,JIT disabling escape analysis permanently,Finalizers running on the main thread,A
A volatile write happens-before a subsequent volatile read of the same variable. What else becomes visible?,Only that volatile field,All writes in the writing thread that happened-before that volatile write,All writes in the entire JVM,Only writes to final fields,B
Allocation failure in eden that promotes a huge live set in one young GC is called:,A promotion storm / survivor overflow,A safepoint leak,A biased-lock revocation,A compressed-oops failure,A
An equals implementation returns true for a subclass instance with extra state. What is the usual hazard?,hashCode becomes slower,Symmetry or transitivity breaks when the subclass equals does not agree,The parent class can no longer be garbage collected,instanceof is illegal in equals,B
CHM does not allow null keys or values. synchronizedMap(HashMap) does. The production hazard is:,There is no hazard,"A null value cannot distinguish 'missing' from 'present but null', and migrating to CHM will NPE",CHM stores null as Optional,synchronizedMap rejects nulls at runtime always,B
Caches that retain objects slightly longer than the young-gen lifetime cause:,No GC impact because caches are off-heap by default,"Steady promotion of cache entries into old gen, then mixed/full GC when they expire later",Only metaspace collection,Thread-local allocation buffer disablement,B
"CallerRunsPolicy on a saturated pool does what, and what is the hidden risk?",Drops the task silently; no risk,"Runs the task on the submitting thread, which backpressures that thread — and can deadlock a request thread that also needs the pool",Starts unlimited extra threads,Persists tasks to disk,B
Calling get() without isPresent() is a problem because:,get() is deprecated and always returns null,"It throws NoSuchElementException — a louder null, not a safer API",It boxes the value twice,It returns a default empty string,B
Collections.synchronizedMap is sometimes acceptable when:,You need maximum multi-core scaling,"Contention is low, the map is small, and you document the mutex (the map itself) for compound operations",You iterate without locking,You store nulls as CHM would,B
Collections.synchronizedMap vs ConcurrentHashMap under high read/write mix: the scalability difference is:,They use the same lock,synchronizedMap serializes all operations on one mutex; ConcurrentHashMap allows concurrent reads and finer-grained writes,ConcurrentHashMap is always slower,synchronizedMap never blocks,B
CompletableFuture callbacks run on the common ForkJoinPool by default. Why has that caused production outages?,ForkJoinPool cannot run more than two tasks.,Blocking I/O in those callbacks starves the process-wide common pool (and parallel streams).,CompletableFuture ignores the common pool and always uses the caller thread.,The common pool disables GC.,B
ConcurrentHashMap iterators are:,Fail-fast like HashMap,"Weakly consistent: they reflect some but not necessarily all concurrent updates, and do not throw CME",A frozen snapshot of the map at creation,Blocking until all writers drain,B
"ConcurrentHashMap publication of an object as a value: after a successful put, another thread's get of that key:",May still see a stale object graph unless all fields are volatile,"Happens-after the put, so writes that HB the put are visible to the getter of that entry",Requires an extra synchronized around every field read forever,Ignores happens-before because CHM is lock-free,B
ConcurrentLinkedQueue vs BlockingQueue for a worker pool:,They are interchangeable,CLQ is non-blocking and has no take() that waits; a worker pool usually wants a BlockingQueue for idle wait and backpressure,CLQ blocks producers when full,BlockingQueue cannot be bounded,B
CopyOnWriteArrayList is a good fit when:,Writes are frequent and reads rare,"Reads dominate and the list is small; iterators see a stable snapshot, writes copy the array",You need O(1) random writes,You need null-hostile semantics like CHM,B
Double-checked locking without volatile on the instance field is broken because:,synchronized cannot be used in constructors,A reader can see a non-null reference before the constructor writes are visible,hashCode of the singleton changes,The classloader deadlocks,B
Floating-point fields in equals/hashCode are dangerous mainly because:,"NaN is not equal to itself, so equals can break reflexivity",doubles cannot be hashed,The JVM forbids floating fields in equals,hashCode of 0.0 and -0.0 is unspecified and crashes,A
"For a latency-sensitive request path, the safe default executor shape is:","Unbounded queue, fixed threads, no timeout","Bounded queue, explicit max threads, rejection handler, task timeout, and queue-depth metrics",Cached pool with no limit,A new thread per task,B
Happens-before is transitive. That matters because:,You must declare transitivity in equals,A lock/volatile edge can carry an entire chain of earlier writes to a later reader,The GC uses transitivity to promote objects,It forces sequential consistency for all fields,B
Happens-before is:,A wall-clock ordering of statements,A JMM guarantee that memory writes before a given action are visible to reads after a related action,The order the JIT must emit instructions on one core,A debugger stepping rule,B
Hashtable and Vector in modern services are usually the wrong choice because:,They are not thread-safe,"Every method locks the whole collection, they are obsolete APIs, and they still do not make compound actions safe",They allow nulls like CHM,They are slower than ArrayList even on one thread only because of boxing,B
How do you confirm premature promotion from GC logs rather than guessing?,Watch only CPU steal time,Correlate high promotion bytes / shrinking survivor-to-old flow with rising old occupancy and mixed/full GC frequency,Count classloader counts,Measure only socket buffer sizes,B
"In a generational heap, promotion means:",Moving a live object from a young generation space into the old generation after surviving collections,Raising a thread's priority when it allocates,Compacting the metaspace into the nursery,Converting a stack allocation into a heap allocation,A
OOM with a heap full of Runnable/Callable wrappers and captured request state points to:,Metaspace leak from proxies,An unbounded executor (or unbounded instrumented queue) retaining submitted work,Stack overflow,Direct buffer leak only,B
Old generation fragmentation after repeated promotions of mixed-size objects leads to:,Faster young GCs,Promotion failures: young GC cannot tenure objects and escalates to a full/concurrent-mode failure collection,Automatic heap shrinkage,Disablement of TLABs only,B
Optional in a Serializable DTO / Jackson field typically causes:,Automatic compact JSON,"Awkward JSON (nested object or module-specific shape), extra null problems, and poor interop",Faster serialization than raw fields,Required presence of the field,B
Optional's intended use in application code is primarily:,A mutable field type on every domain entity,A return type that makes absence explicit at the call site,A replacement for null in method parameters,A serializable column type for JPA,B
Optional.of(nullable) is wrong when the value may be null because:,of() accepts null and stores it,of() throws NullPointerException immediately; ofNullable is the API for unknown nullness,ofNullable throws on null,of() returns empty on null,B
Optional<Optional<T>> or Optional of a collection that may be empty usually means:,A recommended way to express two-level absence,"Confused domain: flatten to Optional<T>, or return an empty collection, not both",Faster lookups,Required for stream flatMap,B
Passing Optional as a method parameter is discouraged because:,The compiler rejects it,"Callers wrap clumsily, overloads explode, and you still must handle a null Optional plus empty",Optional cannot be in bytecode,It breaks happens-before,B
Premature promotion usually shows up as:,Lower allocation rate and smaller heaps,"Old generation filling with short-lived objects, causing frequent expensive old/mixed/full collections",Stack overflow on deep recursion,Direct ByteBuffer leaks only,B
Raising young generation size can reduce premature promotion because:,Objects get more time to die before a young collection copies them,Old generation is deleted,hashCode caching is enabled,Finalizers run twice,A
Returning Optional from a JPA repository method that can return many rows is a misuse because:,Optional cannot wrap entities,"Non-unique results throw, and Optional pretends uniqueness that the query does not guarantee",Spring cannot proxy Optional,Optional disables transactions,B
SynchronousQueue with a cached thread pool fails in the opposite way. What is that failure?,Tasks queue forever,Every extra task creates a thread (or rejects if a cap is hit); thread explosion or native memory death under burst,No task ever runs,The queue stores the entire heap,B
Tenuring threshold too low means:,"Objects must survive many young GCs before old gen, reducing promotion","Objects are promoted after few survivals, tenuring data that might still die soon",No object can enter old gen,Eden is never collected,B
The classic 'check flag then read payload' bug is fixed by:,Making only the payload non-volatile,Making the flag volatile (or using a lock/atomic) so the payload writes that happened-before the flag write become visible,Adding more sleep() in the reader,Using a larger heap,B
The production failure mode of an unbounded executor queue is typically:,Immediate RejectedExecutionException that pages on-call,"Latency explosion, heap growth, GC thrash, then OOM or instance death while work still looks 'accepted'",The pool shuts down automatically,The OS kills only the idle threads,B
Two equal objects must have equal hashCodes. The converse is:,Also required: unequal objects must have unequal hashCodes,Not required; collisions are legal and expected,Required only for Strings,Required only inside ConcurrentHashMap,B
Two objects are equal by business id but you include a mutable timestamp in hashCode only. Which failure appears first?,TreeMap ordering becomes unstable,equals remains consistent while hash buckets diverge after the timestamp changes,identityHashCode starts colliding,serialization identity is lost,B
Two threads write and read a non-volatile field with no lock. What does the JMM allow?,The reader must see the latest write,The reader may see a stale value indefinitely; there is no happens-before,The JVM throws a visibility exception,The write is automatically flushed at end of the method,B
Using Optional to 'document' a Map.get is often worse than:,Leaving raw null and hoping,"Optional.ofNullable(map.get(k)) at the edge, or a getOptional helper — not storing Optional values inside the map",Wrapping every value at insert time as Optional.ofNullable,Replacing Map with Hashtable,B
When is it acceptable to not override hashCode?,Whenever equals is overridden with business fields,When you keep Object identity equality and never treat the type as a value key,When the class is Serializable,When the class is abstract,B
Which application pattern most reliably increases promotion volume?,Short-lived per-request objects that die in eden,"Building large intermediate graphs (JSON trees, ORM entities, byte[] buffers) that remain live across a young GC",Primitive local variables,Using stack-confined objects that never escape,B
"Which is a legitimate, production-grade Optional use?",public void setName(Optional<String> name),"public Optional<User> findUser(Id id) implemented with ofNullable, consumed via map/orElseThrow",class User { Optional<String> nickname; },Optional as a JPA @Column type without a converter,B
Which pair establishes happens-before?,Thread A writes x; thread B reads x later on the wall clock,Unlock of monitor M happens-before a subsequent lock of the same M,Two volatile writes to different fields in either order,Starting a thread happens-before every write in the parent after start,B
Which rejection story is honest to upstream load balancers?,Accept every task into RAM and die five minutes later,Reject at the executor or servlet container so the LB can shed to healthy instances immediately,Log and swallow RejectedExecutionException,Start a new JVM per rejected task,B
Which statement about data races is correct?,A data race is only a performance issue; values are still well-defined,A data race (conflicting accesses with no HB) makes behavior undefined for those accesses; you can see torn/stale/impossible values,The JMM forbids the JIT from reordering around a data race,AtomicInteger still has data races on get/set,B
Which statement is true about ConcurrentHashMap.computeIfAbsent?,The mapping function may safely modify the same map for other keys without risk,The function must be side-effect-light and must not try to update the same map in ways that deadlock or recurse; it runs under per-key synchronization,It is identical to get-then-put,It allows null results to store null values,B
Why can an unbounded queue make timeouts ineffective?,Timeouts cannot be set on Future,The timeout often starts only when the task begins running; queued wait is invisible until the worker dequeues it,LinkedBlockingQueue ignores interrupts,GC disables timers,B
Why can promoting many objects increase pause times even if the heap is not full?,Promotion always stops the world until the disk is fsynced,"Old-gen collections, remembered-set scanning, and fragmentation/copy work grow with the tenured live set",The OS swaps the young generation first,Promotion disables biased locking,B
Why do long-lived static collections of request data cause old-gen GC pain?,Statics are stored in registers,"They keep objects reachable until removed, so they promote and then sit as old garbage or live set forever",The JIT inlines them into young gen,They disable card marking,B
Why does monitoring thread-pool activeCount==coreSize miss an unbounded-queue outage?,activeCount includes queued tasks,Workers are busy at core size while the queue length and heap are the actual overload signals,JMX cannot read executors,coreSize is always zero,B
Why is ConcurrentHashMap.compute/putIfAbsent preferred over get-then-put?,They are faster to type,Check-then-act on CHM is still a race; the atomic compound methods close it,get-then-put is atomic on CHM,putIfAbsent always overwrites,B
Why is Optional as a field on a hot domain object a performance and null-safety lose?,Optional cannot be stored on the heap,You add an extra allocation and still can store a null Optional reference; nested emptiness is confusing,The JIT cannot inline methods that return Optional,Fields cannot be generic,B
Why is a constant hashCode (always 42) technically contract-legal but operationally disastrous?,It violates reflexivity of equals,"Every key lands in one bucket, turning HashMap operations into linear scans",The JIT refuses to inline equals,It disables escape analysis,B
Why is synchronized (this) on a setter insufficient if a getter reads the field with no lock and no volatile?,synchronized never flushes writes,"There is no happens-before to the getter, so it may see stale data",Getters cannot be inlined,this cannot be used as a monitor,B
Why must hashCode be consistent with equals even when you never put the type in a HashMap yourself?,The compiler verifies the contract at compile time,"Libraries, caches, distinct(), groupingBy, and framework identity maps rely on it",The JVM uses hashCode to decide GC generations,Thread interruption delivery keys off hashCode,B
"With a core-sized pool and an unbounded queue, when are extra threads above corePoolSize created?",Whenever the queue has more than one task,"Never, because the queue never appears 'full', so max threads are not started",Immediately on the first submit,Only after a keep-alive timeout,B
You implement equals on a JPA entity using a generated database id that is null before persist. What goes wrong in a HashSet of new entities?,"All new entities collide as equal and collapse to one set element, or change bucket after persist",HashSet refuses null hash codes,Persist becomes a no-op,The persistence context ignores equals,A
You mutate a field that participates in hashCode after inserting the object into a HashSet. What happens on later contains()?,The set rehashes the object automatically on mutation,contains() still finds it because identity is used as a fallback,The object is typically lost: it sits in the old bucket while lookup uses the new hash,The set throws ConcurrentModificationException on the next read,C
You set maximumPoolSize=32 but still never see more than 8 threads. Likely cause?,The OS thread cap is 8,"corePoolSize=8 and the work queue is unbounded, so the pool never saturates the queue",JIT inlines the workers,maximumPoolSize only applies to scheduled executors,B
You wrap a HashMap with synchronizedMap and iterate it from another thread. What is required?,Nothing; the wrapper synchronizes iterators automatically for the whole traversal,"You must manually synchronize on the map during iteration, or you race and can throw ConcurrentModificationException",Iterators are fail-safe and lock-free,Iteration is forbidden,B
compareTo disagrees with equals for a class used in both HashSet and TreeSet. What do you observe?,Both sets always agree on membership,An object can be 'in' one set and 'not in' the other for the same logical value,TreeSet automatically delegates to hashCode,HashSet sorts using compareTo,B
filter/map on Optional vs Stream: the trap is:,Optional.map does not unwrap nested Optionals; use flatMap when the function returns Optional,Optional.filter removes the Optional type,map is illegal on empty,flatMap is only for lists,A
final field safety guarantees what for constructors?,"All fields of the object are visible after the constructor, including non-final","A properly constructed object's final fields are visible to any thread that sees the published reference, without extra sync",final fields can be written by other threads freely,escape of this in the constructor is always safe,B
getClass() vs instanceof in equals: which statement is accurate for value types used as map keys?,instanceof is always required so proxies can equal the real type,"getClass() prevents a subclass with extra fields from equaling the parent, preserving transitivity",Both are equivalent if hashCode is final,instanceof is required by the language specification,B
if (opt.isPresent()) { use(opt.get()); } is inferior to map/ifPresent mainly because:,It is slower in all cases,"It is verbose, easy to call get() on the wrong Optional, and blocks fluent transformation of absence",isPresent is asynchronous,get() returns Optional again,B
"newFixedThreadPool(n) uses which queue, and why does that matter in an outage?",A bounded ArrayBlockingQueue that rejects when full,"An unbounded LinkedBlockingQueue, so tasks accumulate in memory instead of rejecting",A SynchronousQueue that never buffers,The fork-join work-stealing queue only,B
orElse(computeExpensive()) vs orElseGet(this::computeExpensive): the production bug is:,orElseGet always runs the supplier,"orElse evaluates its argument eagerly even when the Optional is present, wasting work or causing side effects",orElseGet cannot return null,They are identical at runtime,B
orElseThrow(MyException::new) vs orElseThrow(() -> new MyException(ctx)): choose based on:,Always prefer the constructor reference,Whether the exception needs captured context; the supplier is lazy and can close over useful state,orElseThrow cannot take a supplier,Exceptions must be preallocated,B
synchronizedList(ArrayList) and index-based get/set from many threads: still broken because:,ArrayList cannot store objects,size-then-get is not atomic; an index can vanish between calls even though each call is synchronized,synchronizedList does not wrap get,Indexes start at 1,B
volatile ++ (read-modify-write) is not atomic. How does that relate to happens-before?,HB and atomicity are the same thing,"Each volatile read/write has HB/visibility, but increment is two accesses; two threads can still lose an update",volatile forbids lost updates by definition,The compiler turns volatile++ into a CAS,B
"A 3-replica Deployment, PDB minAvailable: 3, cluster autoscaler wants to drain a node. What happens?",Eviction is blocked until extra ready pods exist (or the PDB is loosened); the node drain stalls,Kubernetes ignores PDB for autoscaler drains,etcd force-deletes the PDB,VPA shrinks the pods so three fit on one node automatically,A
A gRPC server ignores SIGTERM. terminationGracePeriodSeconds: 30. Clients during Deploy?,"After 30s kubelet SIGKILLs; in-flight RPCs reset. Combined with slow Endpoint removal, you also get connection refused / 502",kube-proxy holds the connections open indefinitely,PDB extends the grace period automatically,HPA intercepts SIGKILL,A
"A rolling update has maxUnavailable=0, maxSurge=1, and a PDB that forbids disrupting the last Ready pod. The new ReplicaSet is stuck. What is going on?",Kubernetes cannot roll with maxUnavailable=0.,"The surge pod is not becoming Ready (probe/config), so the controller will not take the old one down; PDB/readiness deadlock the rollout.",PDBs do not apply to Deployments.,maxSurge=1 requires maxUnavailable>=1.,B
An HTTP server needs 30s to warm caches. Liveness and readiness both hit /healthz with failureThreshold: 1 and no initialDelay. Symptom?,kubelet restarts the container during warmup (liveness) and the pod never joins Endpoints long enough to stay stable,Only HPA scales to zero,PVC bind is delayed until the first 200,etcd compaction deletes the pod spec,A
"Burstable pod: request 100Mi, limit 1Gi. Node memory pressure hits. Who dies first among BestEffort / Burstable / Guaranteed?","BestEffort first, then Burstable that exceeded requests, Guaranteed last — QoS is eviction order, not a fairness scheduler for CPU",Guaranteed always dies first because it reserved the most,Only pods without PVCs are evicted,Eviction order is random by UID,A
"Controllers go slow, API list/watch latency climbs, events about etcd timeouts. Highest-leverage first look?","Object size and write QPS — giant CRDs/Secrets, too many objects, watch storms — etcd disk fsync and DB size",Whether pods use :latest,PVC reclaim policy,HPA sync period only,A
HPA on CPU and VPA in auto mode on the same Deployment. What goes wrong?,"VPA raises requests (CPU looks lower), HPA then scales replicas down (or the reverse) — the two controllers chase each other",Kubernetes forbids installing both CRDs in one cluster,"etcd stores only HPA or only VPA, never both",PDB converts all HPAs into VPAs,A
"HPA scales on CPU. The app is I/O bound waiting on a database. What does HPA do, and why is that wrong?",It still scales out because waiting threads look like CPU.,"CPU stays low, so it does not scale, while request queues grow; you needed a metric that reflects wait/queue, or to fix the DB.","HPA always uses QPS, so CPU as a target is ignored.",HPA will scale to maxReplicas whenever readiness fails.,B
Liveness probe hits / on a server that deadlocks its only thread while still having a listening socket. TCP probe vs HTTP handler probe?,tcpSocket can still succeed on a deadlocked process; an HTTP (or exec) check of a real handler is required to detect the wedge,tcpSocket always fails if the app is deadlocked,Only exec probes can open ports,Readiness cannot use HTTP,A
"OOMKilled, then CrashLoopBackOff. Memory limit is 128Mi, request 128Mi. Fix shape?","Raise limit (and request if you want Guaranteed) after measuring RSS — the restart loop is the symptom of the cgroup kill, not a probe bug",Switch the probe from HTTP to TCP so memory is not checked,Set :latest so a smaller image is pulled,Add a PDB of minAvailable: 0 to stop OOMs,A
PV reclaimPolicy Retain vs Delete after PVC is gone. Operational difference?,"Retain leaves the PV and data (Released, manual recover); Delete asks the provisioner to destroy the backing disk",Retain wipes data; Delete keeps it,They only affect etcd key TTL,Reclaim policy changes accessMode from RWO to RWX,A
"Pod mounts a PVC that is already Bound to a PV on another AZ, and the node is in a different AZ. Typical outcome?",Pod stays Pending (or volume attach fails) — topology and accessMode (RWO) constrain where that claim can run,kubelet copies the PV across AZs automatically,etcd replicates block devices,HPA creates a second PV,A
"You need HPA to scale on queue depth, not CPU. Why is CPU often the wrong signal for that worker?",A blocked worker can be at 0% CPU with a huge backlog; CPU HPA will scale in and make the queue worse,HPA cannot use custom metrics in any cluster,Queue depth is stored only in etcd,VPA is required before any custom metric,A
"You need zero dropped requests during rollout. Besides a correct readiness probe, what else must be true?","preStop/sleep or SIGTERM drain longer than kube-proxy/Endpoint slice propagation, plus terminationGracePeriodSeconds that covers the drain",Set maxUnavailable: 100% so old pods vanish instantly,Use :latest so kubelet always pulls a fresh binary,Disable PDB so drains are unrestricted,A
You set CPU limit = request for a latency-sensitive service. Why might p99 get worse than with no limit?,Limits are ignored when they equal requests.,"CFS throttling: bursts above the quota get paused even if the node is idle, adding tail latency.",No limit would make the pod unschedulable.,Equal request/limit disables CPU entirely.,B
imagePullPolicy: IfNotPresent plus myapp:latest. You push a new latest. A new pod lands on a node that already pulled it last week. Result?,kubelet reuses the old local image — the new bits never run on that node,kubelet always re-pulls latest regardless of policy,The pod CrashLoopBackOffs with ImagePullBackOff,etcd invalidates the node cache,A
"maxUnavailable: 0, maxSurge: 1, 2 replicas, new image fails readiness. Cluster capacity?","One extra failing pod may exist; both old Ready pods stay — capacity holds, rollout waits",Both old pods are killed immediately because surge is 1,PDB is the only thing that can keep old pods,VPA deletes the new ReplicaSet,A
"A UUID PK was replaced by a sequential bigint PK, with UUID moved to a unique secondary index. What improved, and what remains?",Clustered inserts become sequential and cache-friendly; the unique UUID index still random-inserts but is narrower than clustering on UUID,Secondary unique indexes on UUID are free because they do not store the PK,Gap locks disappear once the PK is sequential,Row-based replication no longer needs before images,A
A covering index looks perfect in EXPLAIN (Using index) but the query is still slow. Which InnoDB reason is plausible?,"The index is huge and not in the buffer pool, so you traded clustered lookups for lots of cold secondary-leaf I/O",Using index means a full table scan of the clustered index,Covering indexes disable MVCC and scan undo history,EXPLAIN Using index always implies a temporary table,A
A locking range scan on a non-unique secondary index under RR deadlocks with inserts. What is a typical lock pattern?,"Next-key locks on the secondary index plus clustered lookups, colliding with insert intention locks in the same gaps",Metadata locks on mysql.user taken by every INSERT,Buffer pool mutexes held across network round-trips,Statement-based binlog locking the entire schema,A
A transaction holds row locks and then calls an HTTP API that is slow. What operational failure are you building?,Nothing; InnoDB row locks are released at statement end by default.,"Lock duration tracks the transaction, so you pin rows (and maybe gap locks) for the whole remote call — timeouts and pile-ups follow.",InnoDB automatically suspends locks during network I/O.,The HTTP call runs in a savepoint that cannot see locked rows.,B
Change buffering speeds secondary-index maintenance for deferred writes. When does it not help (or hurt) a workload?,"When the working set already fits in the buffer pool, or unique secondary indexes that must be checked immediately",When the table has a clustered primary key,When row-based binlog is enabled,When isolation is READ COMMITTED,A
History list length (undo) grows because a session left a long-running snapshot. What fails next?,"Purge cannot reclaim undo; secondaries and clustered pages stay old versions, growing space and slowing reads that walk version chains",The binary log rotates every statement,Gap locks upgrade to table locks automatically,The buffer pool evicts only clean pages forever,A
INSTANT ADD COLUMN succeeds on the source but an older replica breaks. What is the operational lesson?,INSTANT metadata row format must be supported on every replica; otherwise apply fails or the table is rebuilt incompatibly,INSTANT DDL is never written to the binlog,Replicas ignore DDL and copy data files from the source,Gap locks prevent INSTANT DDL from replicating,A
MIXED binlog format logs some statements as STATEMENT and some as ROW. When is MIXED still dangerous?,When the optimizer or a stored routine is non-deterministic in a way MIXED does not promote to ROW,When all tables have primary keys,When the replica is read-only,When innodb_file_per_table is on,A
Online ALTER adding a secondary index still causes replication lag. Why?,"The DDL is logged and applied on the replica as a similar build, or DML during the build is queued, so apply falls behind",INSTANT DDL always rewrites the clustered index on replicas only,Replicas cannot have secondary indexes,Gap locks on the source are replayed as table locks,A
Online DDL on a busy table still causes a latency spike. Which hidden cost is most often the real one?,"DDL never takes metadata locks, so the spike must be the buffer pool warming.",A metadata lock wait: the ALTER needs a brief exclusive MDL while long transactions still hold the table.,"Binlog is fully rewritten for every ALTER, blocking replica IO thread CPU only.",InnoDB converts the table to MyISAM for the duration of DDL.,B
Parallel replica workers (logical clock / WRITESET) still serialize on one table. Why?,Transactions that touch overlapping rows or lack writeset information cannot be applied concurrently without violating commit order,Parallel apply requires statement-based binlog,Gap locks on the source are applied as global locks on the replica,The buffer pool allows only one dirty page at a time on replicas,A
Row-based replication plus a table without a primary key. Why does replica apply become extremely slow?,"Each row event may require a table scan or hidden index lookup to find the row, instead of a clustered PK point lookup",RBR refuses to replicate tables without a PK,Gap locks cannot be reconstructed without a PK,The buffer pool disables change buffering on those tables,A
SELECT ... FOR SHARE under RR on a parent row is used to prevent orphan children. An INSERT child still races. What lock gap exists?,"Without proper FK locking or locking the gap/index on the parent key the INSERT expects, a concurrent DELETE/UPDATE of parent can interleave depending on lock type",FOR SHARE always equivalent to SERIALIZABLE table lock,Child inserts never take locks on parent indexes,InnoDB foreign keys are enforced only at replica apply,A
Statement-based binlog plus a non-deterministic `UPDATE ... ORDER BY RAND() LIMIT 1` is replicated. What goes wrong?,Replicas apply the same statement and may update different rows than the primary.,InnoDB refuses to log non-deterministic statements.,The statement is rewritten to row-based automatically and cannot diverge.,"RAND() is stored in GTID, so replicas replay the same choice.",A
You chose a random UUID as the InnoDB primary key for a huge table. Why do writes get worse over time?,UUIDs cannot be indexed in InnoDB.,"Inserts scatter across the clustered index, causing page splits and random I/O instead of appending to the right edge.","UUID PKs disable the change buffer, so secondary indexes cannot be updated.","InnoDB stores UUID PKs twice, doubling row size.",B
You need to purge millions of rows without stalling the replica. Why is DELETE in small PK batches often preferred over one huge transaction?,"A huge transaction delays binlog dump until commit, holds undo, and creates a massive apply burst; batches bound lag and purge history",InnoDB cannot DELETE more than 1000 rows in one statement,Gap locks are only taken on small batches,Row-based binlog ignores large transactions,A
You switch binlog_format to ROW to make replicas match. Which source-side cost appears?,"Binlog volume grows because before/after row images are written, especially for wide rows and bulk updates",InnoDB disables the redo log,Gap locks are written into the binlog for every SELECT,Online DDL becomes COPY-only,A
innodb_flush_log_at_trx_commit = 2 improves COMMIT latency. What durability did you give up?,A host crash can lose the last second of committed transactions even though clients saw COMMIT,Replicas will diverge on every DDL,Gap locks are not released at COMMIT,The clustered index can tear pages without redo,A
A GIN index on jsonb speeds @> queries but INSERTs and VACUUM become expensive. Why?,"GIN stores many posting-list entries per row and pending lists must be merged, amplifying WAL and cleanup",GIN disables MVCC visibility checks,jsonb cannot be TOASTed when GIN exists,GIN requires sequential scans for all other predicates,A
A covering index (INCLUDE) is created for a read-heavy query. When does INCLUDE still fail to make an index-only scan effective?,"The visibility map is not all-visible, so heap fetches still occur for many tuples",INCLUDE columns cannot be TOASTed,Index-only scans require SERIALIZABLE,INCLUDE disables HOT on the table,A
A query that should use an index does a sequential scan after a bulk load. Statistics were not updated. What is the planner missing?,The physical location of WAL segments.,Row counts and value distributions; without ANALYZE it can think the table is tiny or the filter is unselective.,"The OS page cache size, which it stores in pg_class.",A lock on pg_index that sequential scans skip.,B
A replication slot is left unused after a forgotten subscriber. What operational failure follows?,WAL is retained forever for that slot until disk fills and the primary can no longer write,Autovacuum freezes all tables immediately,Hot updates become sequential scans,max_connections is reduced to 1,A
"A table is 200 GB, updates hit the same hot rows all day, and autovacuum cannot keep up. Indexes keep growing even though live row count is stable. What is actually accumulating?",WAL files that VACUUM is required to delete from pg_xlog.,Dead tuple versions and index entries pointing at them; HOT can skip index updates only when a new version fits on the same page.,"Materialized views of every UPDATE, stored until ANALYZE.",Logical replication slots created automatically for each UPDATE.,B
A write-heavy table never gets HOT updates even when indexed columns are unchanged. fillfactor is 100. What is the mechanism?,"No free space on the same page, so the new version is placed elsewhere and every index must be updated",HOT requires synchronous_commit = off,HOT only works on partitioned tables,HOT is disabled when replication slots exist,A
Bloat in a btree index grows even though the heap was recently vacuumed. What index-specific issue remains?,Index pages are not fully recycled by ordinary vacuum; deleted keys can leave poorly reusable space until REINDEX or vacuuming that can recycle pages,Btree indexes store heap tuple copies that vacuum never visits,HOT updates always bloat indexes first,Indexes are only compacted at xid freeze time,A
