Question,Correct Answer
Shutdown,"Make the executor a Spring bean with a wait/timeout on destroy, or deploys kill in-flight async work."
Singleton + request fields,Cross-request leaks and races. Keep singletons stateless; pass request data as method arguments or true request-scoped beans.
Size formula,Needed connections ≈ concurrent requests that need the DB × hold time. Inbound threads should not wildly exceed what the pool and DB can serve.
Team rule,"Transactional methods are public entry points on a boundary component. Different propagation means a different bean, not a private helper."
Turning OSIV off,"Exposes LazyInitializationException at the true missing-fetch sites. Fix those with explicit fetches/DTOs, do not turn OSIV back on to silence them."
What should be true of Actuator in production?,"Health on a separate port or authenticated path is fine. env, heapdump, beans, and similar are data leaks. Disable or lock them down; don't rely on 'nobody will guess /actuator'."
Where to fetch,"Inside the transactional service/repository with join fetch, entity graphs, or DTO/projection queries — not in the serializer."
Why OSIV hides N+1,"Serialization would have thrown LazyInitializationException. OSIV lets each getter hit the database instead, turning a bug into silent query storms."
Why not HTTP inside @Transactional?,"You hold a connection and possibly row locks for the whole round trip. If HTTP fails after SQL succeeded (or the opposite), you have a distributed consistency bug. Do the DB work, commit, then call out — or use an outbox."
Why self-invocation skips @Transactional,"Spring applies transactions via a proxy. this.foo() is a direct call on the target, so the interceptor never runs."
env and configprops,"They dump the Environment, including secrets and origins. Public exposure is a credential leak. Sanitize is not a substitute for not exposing them."
heapdump / threaddump,"Memory and stack snapshots. Secrets, tokens, PII, lock graphs. Admin-only on a private port."
include=*,"Enables the full attack surface (shutdown, mappings, dumps, env). Production should whitelist the few ids probes need."
join fetch pitfall,Collection join fetch duplicates roots and fights pagination. Prefer two queries or a graph designed for the use case; DISTINCT is not always enough.
new Service() vs Spring bean,"Annotations do nothing on objects you construct yourself. No proxy, no transaction, no security, no retry."
readOnly outer + write inner via this,You remain in the outer read-only transaction. The inner readOnly=false never applies.
void @Async exceptions,Do not reach the caller. AsyncUncaughtExceptionHandler or a Future you actually observe. Otherwise jobs vanish.
