Question,Option A,Option B,Option C,Option D,Correct Answer
"For a tool argument that must be a valid ID, temperature 1.0 is a poor default because:",High entropy sampling increases the chance of a locally likely but invalid ID string,Temperature cannot affect sampled tokens,Tool IDs are never tokenized,Temperature 1.0 disables the context,A
Hybrid search (keyword + vector) often beats vectors alone for RAG because:,"Rare IDs, error codes, and exact names are easy for lexical match and easy for embedding models to blur",Keyword search cannot find exact strings,Embeddings always preserve identifiers,Chunking becomes unnecessary,A
Multilingual token inequality matters in production because:,The same user intent can exhaust the window or the budget in one language and not another,Every language has identical bytes-per-token,"Truncation always drops tokens from the end of the vocabulary, not the prompt",Cost is billed per word in every API,A
Offline eval is green; online users still jailbreak a tool-using assistant. What eval gap is this?,Offline eval cannot test tools.,You lacked adversarial/red-team cases and runtime policy on tools; capability eval ≠ security eval.,Jailbreaks only happen offline.,"If BLEU is high, safety follows.",B
Quadratic attention in sequence length implies that doubling a dense prompt can:,"At most double compute in those layers, never more","Roughly quadruple attention compute, on top of already paying for twice the tokens",Leave latency unchanged,"Only affect disk, not GPU time",B
Retrieved chunk C is top-ranked and the model quotes it. The answer is still wrong. Which failure is this?,Citation-not-entailment: the chunk is topically related but does not support the claim,Empty retrieval,Tokenizer underflow,Temperature is NaN,A
Semantic chunking that embeds sliding windows and splits on similarity drops can fail when:,"A logical unit (API + error codes) is semantically diverse so it is split, while boilerplate is glued because it is self-similar",You store metadata,You use overlap of 10–20%,You keep titles in the chunk,A
"Teacher-forcing trains the model on gold prefixes, but inference is autoregressive on its own tokens. This gap contributes to hallucination because:",The model never sees tokens at train time,"Errors compound: a slightly off prefix makes a false continuation more likely, with no external correction",Temperature becomes exactly 1 at test time always,"Loss is computed on images, not text",B
Test questions appear inside few-shot prompts used at eval time. The pitfall is:,"Data leakage: you are measuring memorization of the eval items, not generalization",A required RAG feature,The only way to compute BLEU,Unrelated to contamination,A
When is fine-tuning the wrong tool even if RAG is “hard”?,You need the model to recite a policy that legal changes weekly,You need a house writing style on a stable task,You need lower latency on a fixed schema after distillation,You need the model to use domain abbreviations consistently,A
"You have a long system prompt, retrieved chunks, and a growing chat. The hidden cost is not only the latest user line because:",Only new characters are billed,"Typical APIs bill (and the model processes) the full prompt each turn, so history plus retrieval compounds",Cached identical prefixes are never relevant to cost,Output tokens are free,B
You must ship a RAG system with a recall SLO. Embeddings-only search fails on SKUs and error codes. What do you add and why?,A larger embedding dimension always fixes exact tokens.,Hybrid retrieval (lexical + vector) because embeddings are weak on rare identifiers; keyword/BM25 still wins there.,Lower temperature.,Disable chunking so the embedding sees the whole corpus at once.,B
"A latency SLO is missed only during old-gen collections on a huge heap. What is the architectural move, not a GC flag trivia answer?",Always `-XX:+UseSerialGC` on 256 GB heaps.,"Shrink live set (off-heap caches, smaller heaps, more instances), or pick a collector/heap size that meets pause goals — GC flags cannot fix a 100 GB live set you treat as a cache.",Disable GC and use malloc.,One JVM per company is more efficient.,B
A library registers a JVM shutdown hook that talks to the network. Kubernetes sends SIGTERM and kills after terminationGracePeriod. Why is the hook a bad place for flush?,Shutdown hooks always get 10 minutes.,"Hooks race the SIGTERM budget and other hooks; flush in the application lifecycle (Spring close, preStop) with an explicit timeout smaller than the grace period.",SIGTERM cannot interrupt Java.,Kubernetes never sends SIGKILL.,B
False sharing: two threads update adjacent counters in an array and scale poorly. What is actually happening?,The JVM inserts a global lock on int[].,They bounce the same cache line between cores; padding/striping (or LongAdder-style cells) separates the lines.,int[] is always on-heap so atomics cannot work.,This only happens on 32-bit JVMs.,B
"A mesh sidecar is injected. App readiness is true, sidecar is still warming. Traffic hits the pod and 503s. Root cause class?",Pod Ready is a conjunction you must encode (aggregate probe / sidecar-aware) — default app-only readiness lies about the data path,PDB cannot count sidecars so Kubernetes marks Ready anyway,etcd does not store sidecar status,HPA always routes to the newest pod,A
A multi-tenant cluster lets teams set their own nodeSelectors to dedicated hardware. One team omits requests. What is the platform failure?,NodeSelectors replace the need for requests.,"Without mandatory requests/limits (admission), BestEffort pods still pack onto those nodes and evict or starve the paying workload. Policy must be enforced, not documented.",taints prevent BestEffort automatically.,QoS is per-namespace and defaults to Guaranteed.,B
A noisy neighbor on a node: your Guaranteed pod has CPU request=limit=1 core but still sees tail latency. Why limits don't isolate you fully?,"CPU limit is CFS quota, not a hard core; last-level cache, noisy disk, and CPU steal still leak. Memory is a cgroup hard cap (OOM), CPU is time slices",Guaranteed pods pin a physical core by definition,requests pin the NUMA node and nothing else can run there,etcd enforces per-pod cache isolation,A
API server / etcd: thousands of Endpoints with notReadyAddresses flapping because readiness is tied to a flappy dependency. Control-plane effect?,Watch traffic and etcd writes explode (Endpoints/EndpointSlice churn) — you DDoS the control plane with probe misuse,etcd ignores Endpoint updates,Only kube-proxy on that node is affected; API QPS is unchanged,VPA compresses Endpoint objects,A
"Admission defaulted imagePullPolicy Always for :latest, but your air-gapped nodes use a rewrite mutating webhook to a digest. A human later kubectl set image …:latest. What breaks first?","Pulls against a tag that is not in the internal registry, or different nodes resolve different digests if the webhook is skipped on some paths","Kubernetes converts latest to a digest in etcd forever, so nothing breaks",PDB blocks all image changes,HPA refuses to scale pods with latest,A
"Cluster upgrade drains nodes. App has HPA min=2, PDB minAvailable=50%, and a slow SIGTERM handler (90s) with grace 30s. Incident pattern?",Drains SIGKILL in-flight work (grace too short) while PDB/HPA still try to keep replica floors — you get both dropped requests and stuck drains,PDB extends grace to 90s automatically,HPA disables SIGKILL,etcd pauses drains until all handlers finish,A
Memory-backed emptyDir plus a container memory limit. Process writes a huge file to the volume. Who kills it?,The emptyDir counts against the pod's memory cgroup — you can OOMKill without a 'real' leak in the heap,emptyDir is always disk and cannot OOM,Only PVCs count toward limits,kubelet moves the file to the PV automatically,A
"RollingUpdate maxUnavailable: 1 on a StatefulSet of 5 databases, each with a PVC. Why is this not the same as a Deployment surge?","StatefulSet updates ordinal-by-ordinal, keeps stable network IDs and PVCs; there is no extra surge replica with a new volume — you are trading capacity of that member",StatefulSet always creates maxSurge extra PVCs,PDB is ignored for StatefulSets,:latest is required for ordered pods,A
"Secret stored as a whole kubeconfig in etcd, updated every minute by an operator, mounted in 200 pods. Primary harm?","Huge, hot objects in etcd plus mount/watch storms on every kubelet — control plane and node I/O, not just 'a secret rotated'",PVCs cannot mount Secrets,HPA will scale to 200 automatically,:latest will be rewritten into the Secret,A
"Two pods, ReadWriteOnce PVC, StatefulSet replica 2, same StorageClass. Why the second pod is Pending?",Each ordinal needs its own PVC (volumeClaimTemplates). Sharing one RWO claim is invalid; the volume attaches to at most one node,StatefulSet requires RWX for replica 0 only,Pending means CrashLoopBackOff,HPA must create PVCs and it is not installed,A
"VPA recommender suggests 8Gi, HPA target is 70% CPU, Guaranteed QoS. You apply VPA in-place resize where supported vs restart. Risk to availability?",Resize that needs a restart is an eviction; without surge/PDB room you dip below SLO. In-place CPU/memory still changes utilization and can flap HPA,VPA never restarts pods in any mode,Guaranteed QoS blocks all resizes,etcd stores only the original request forever,A
You mark a Deployment progressDeadlineSeconds too low while image pulls are slow. Interaction with rolling update?,The rollout is marked failed (Progressing=false) even though pods might still become Ready — automation may abort or rollback while surge pods exist,progressDeadline pauses etcd,It only affects CronJobs,It overrides PDB,A
You need disruption-safe cluster autoscaler + PDB + HPA. Which invariant is the one that actually allows a node to go away?,"After a pod is evicted, HPA/scheduler can place a replacement elsewhere AND the PDB still holds on remaining Ready pods — if utilization is so tight no extra pod can schedule, drains deadlock",PDB guarantees a new node is created first in all cases,HPA minReplicas always includes surge nodes,etcd reserves one empty node per PDB,A
You need zonal disruption (one AZ down) to leave the service up. PDB minAvailable=80% and 3 replicas. Why is that a false SLO?,"PDBs control node drains, not replica count.",3 replicas cannot lose a zone and still keep 80% (you'd have 2/3). The PDB and topology spread must match the actual failure domain math.,Kubernetes will create extra pods when an AZ dies if a PDB exists.,"minAvailable is of nodes, not pods.",B
You set a liveness exec probe that deadlocks on the same global lock as the request path. Failure mode?,"When the app wedges, the probe wedges too; kubelet may restart late or the probe timeout becomes your only detection — and a slow probe can starve other probes",exec probes run in a separate kernel and cannot deadlock,kubelet promotes exec to a TCP probe automatically,VPA kills exec probes,A
etcd is at 8 GB and already slow. Controllers re-list huge objects. What is the cluster-level failure mode?,kubelets skip etcd and talk to the graph driver.,"API latency rises, watches fall behind, heartbeats/elections suffer — the control plane is a strongly consistent store with a size/QPS budget.",etcd automatically shards by namespace.,"This only affects helm, not scheduling.",B
"preStop sleeps 5s, app drain takes 20s, EndpointSlice propagation p50 is 2s, grace 15s. Still 502s. The math?",Grace (15) < preStop (5) + drain (20) so SIGKILL cuts the drain; also Ready may still be true during the sleep if you did not fail the probe first,preStop always runs after SIGKILL,EndpointSlice propagation cannot cause 502s,15s grace is a Kubernetes minimum that cannot SIGKILL,A
A descending scan of a secondary index plus clustered lookups causes 'random' primary-key I/O. How does a covering index or clustering change the shape?,"Covering avoids PK jumps; alternatively, designing the clustered key to match the access order turns random lookups into range reads",InnoDB always stores secondary indexes in PK order,Buffer pool prefetch only works on UUID keys,Gap locks force sequential PK access regardless of index,A
A finance ledger requires 'read your writes' and audit of who changed a row. Why is a read replica the wrong place for the audit query immediately after commit?,Replicas have stronger isolation than the primary.,Async apply means the replica may not have the row; the audit source of truth is the primary (or a commit-wait / session-consistent mechanism).,Binlog does not contain UPDATEs.,Audit must be done in the application memory only.,B
A generated column stored in the clustered index is used to index JSON. Why can this still be a write-amplification trap?,"Every base-column update rewrites the clustered row and maintains the generated value plus any indexes on it, inflating undo and binlog images",Generated columns cannot be part of a secondary index,JSON updates skip redo logging when generated columns exist,Gap locks are taken on every JSON path globally,A
A hot row (counter) is updated by many sessions. InnoDB exhibits severe mutex/lock waits despite a tiny row. Which design actually scales?,Sharding the counter into many rows or moving increments to a log/queue so clustered-record lock contention is spread,Adding more secondary indexes on the counter column,Switching binlog to STATEMENT so updates merge,Raising the buffer pool so row locks are not taken,A
A huge InnoDB table must be resharded because the PK is a hot increment and one instance is CPU-bound. What is the scaling move that actually works?,Add more replicas and send writes to all of them.,"Split write keyspace across instances (application sharding or a proxy), because one clustered B-tree will not horizontally absorb write CPU.",Enable the query cache.,Move the table to MEMORY engine.,B
A multi-table UPDATE with a join under RR locks more gaps than the business key suggests. What planner/lock interaction is involved?,"The chosen index and scan direction determine next-key lock ranges, including extra gaps if the access path is not a precise unique PK lookup",Joins always take a global metadata lock instead of row locks,RR disables index condition pushdown so locks cover the table,Binlog row events take the locks on the replica only,A
A point-in-time restore uses binlog + a backup taken with a snapshot. Restored data has extra or missing rows around the snapshot LSN. What was likely misaligned?,"The backup's InnoDB LSN / GTID set was not consistent with the binlog position applied, so recovery replayed the wrong range of row events",Gap locks from the snapshot were not restored,Covering indexes cannot be recovered from binlog,READ COMMITTED backups skip the redo log,A
Crash recovery after a huge dirty buffer pool is slow even with a healthy redo log. Which setting tension is this?,A large buffer pool with infrequent checkpoints / large max redo means more redo to apply and more dirty pages to flush on recovery,innodb_flush_log_at_trx_commit = 1 disables recovery,"Row-based binlog replaces InnoDB redo, so recovery replays the binlog only",Gap locks must be rebuilt from the binary log before the server opens,A
"During online rebuild DDL, concurrent DML is logged to an online log. What failure mode appears if that log overflows or the table is extremely hot?",The ALTER fails or throttles; concurrent writes either abort the DDL or stall until the sort/apply of DML can catch up,InnoDB silently drops DML that occurred during DDL,The replica applies DDL without the concurrent DML,Gap locks are converted to checksums in the online log,A
Group Replication / InnoDB Cluster vs a classic async replica + orchestrated failover. You need to write in two regions. What is the honest limitation?,Group Replication gives you active-active multi-region writes with no conflict rules.,Multi-primary across high-latency regions is conflict- and latency-hostile; most healthy designs keep a single write primary and regional readers.,Async replication cannot be used for reads.,GTIDs make two-region writes linearizable.,B
Group Replication / a source-replica topology hits flow control because one replica's applier is slower. What is the real availability trade-off?,The source throttles or the lagging member is expelled; you choose between write stalls and weaker durability/consistency of the set,Flow control only affects SELECT on the source,InnoDB stops taking gap locks during flow control,The buffer pool is automatically resized to zero on slow members,A
"InnoDB RR phantom protection uses next-key locks, but a SELECT without FOR UPDATE uses MVCC snapshots. A read-then-write transaction still commits a write skew. Why is RR not SERIALIZABLE here?","Snapshot reads do not set predicate/gap locks, so two transactions can each read a disjoint set and write based on a condition that would not hold under true serial order",InnoDB REPEATABLE READ always takes table locks on writes,Write skew is prevented by the clustered index automatically,The binary log serializes all snapshot reads,A
You consider SERIALIZABLE in InnoDB to kill write-skew. What operational price shows up under high read concurrency?,"Even plain SELECTs become locking reads (in InnoDB's SERIALIZABLE), exploding next-key lock conflicts and deadlocks versus RR snapshot reads",SERIALIZABLE disables the buffer pool for reads,SERIALIZABLE forces statement-based binlog,Secondary indexes are ignored to make scans lock the clustered tree only,A
"You enable binlog_row_image = FULL for audit, then switch to MINIMAL to cut WAL-like binlog volume. What replica/trigger failure can MINIMAL cause?","Replicas, row-based triggers, or tools that need unchanged columns cannot reconstruct the full before image",MINIMAL disables crash recovery in InnoDB,Gap locks are omitted from redo,Covering indexes become invalid on replicas,A
You observe replication lag that grows only when the primary does bulk LOAD. Row-based replication is on. Why can the replica still fall over?,"Row-based events for huge writes apply row-by-row on the replica, often without the primary's bulk optimizations.",Replicas ignore LOAD DATA.,Binlog compresses bulk loads to one page the replica cannot unpack.,The replica must take ACCESS EXCLUSIVE on every table.,A
You set replica_preserve_commit_order = ON with parallel workers. Throughput drops vs unordered apply. Why is that the correct default for many systems?,"Readers and cascading replicas observe the same commit order as the source, avoiding anomalies that cheaper parallel apply would allow",Commit order preservation disables the redo log on the replica,It is required for covering indexes to work,It prevents gap locks on the source,A
You split a hotspot table by hash of tenant_id into multiple tables to reduce clustered-page contention. Which cost did you just accept?,"Cross-tenant queries, FKs, and online DDL become N-way operations; replication parallelism may improve only if transactions do not touch many shards",InnoDB can no longer use secondary indexes,Gap locks disappear because hash tables have no order,The buffer pool cannot cache more than one shard,A
temp tables in a transaction with binlog ROW and a rollback. Why can disk and replication still surprise you?,"Some temp-table patterns still write row events or consume undo/ibtmp; rollback does not shrink files, and mixed temp usage can desync replicas if logged incorrectly",Temporary tables are always replicated as CREATE TABLE on disk,Rollback of temp tables requires a full clustered rebuild of user tables,Gap locks on temp tables are copied to the replica,A
A BRIN index is chosen for a time-series table that is updated in the middle of the key range. Why does BRIN degrade?,BRIN summarizes page ranges; random updates destroy correlation so range summaries become too wide to prune,BRIN cannot coexist with WAL,BRIN requires SERIALIZABLE to return correct results,BRIN stores one pointer per tuple like btree,A
A connection pooler in session mode plus thousands of idle-in-transaction sessions. Memory on the database host climbs. Why is this worse than idle (not in transaction)?,"Each idle-in-transaction backend holds a snapshot, preventing xmin advancement, vacuum, and releasing of catalog caches tied to that snapshot",Idle-in-transaction sessions do not use a backend process,PostgreSQL automatically sets synchronous_commit = off for idle transactions,WAL is fsynced continuously for idle snapshots,A
A multi-master-like design uses logical replication with conflict avoidance by partitioning key ranges per node. An UPDATE moves a row across ranges. What breaks?,"The UPDATE is not a DELETE+INSERT across publications, so the row can vanish or duplicate depending on replica identity and filters",PostgreSQL converts the UPDATE into a HOT update on the subscriber automatically,WAL is not generated for cross-range updates,synchronous_commit ignores logical slots for such rows,A
A multi-tenant SaaS puts all tenants in one cluster. One tenant runs analytical queries that blow up work_mem and temp files. What isolation strategy actually protects neighbors?,A single `statement_timeout` equal for everyone is enough.,"Separate roles/pools with memory/timeouts, plus (if needed) separate databases or clusters; Postgres does not give hard multi-tenant CPU isolation inside one instance.",MVCC isolates CPU as well as row versions.,Put the noisy tenant on a replica and they cannot affect the primary's CPU.,B
A partial index WHERE deleted_at IS NULL becomes huge despite few live rows. What went wrong?,Updates that set deleted_at still leave index entries for old MVCC versions until vacuum; a long xmin horizon prevents cleanup,Partial indexes index every row regardless of predicate,IS NULL predicates cannot be used in partial indexes,HOT updates duplicate partial index entries on purpose,A
A query uses a GiST index on a range type. Concurrent updates cause a lot of page splits. Which correctness vs performance tension exists?,"GiST must maintain balanced predicate trees under MVCC, so splits WAL-log internal pages and can bloat faster than btree on overlapping ranges","GiST updates are never WAL-logged, risking replica divergence",GiST ignores isolation levels by design,VACUUM cannot recycle GiST pages without REINDEX CONCURRENTLY plus a restart,A
A standby is used for read scaling. A long reporting query on the standby conflicts with WAL replay of a VACUUM that wants to remove tuples still visible to the query. What happens if hot_standby_feedback is off and max_standby_streaming_delay is short?,"The standby cancels the query so replay can proceed, or replay waits then cancels—reads are sacrificed to keep apply moving","The primary automatically delays VACUUM until the standby query ends, with no configuration",The standby silently returns wrong results for removed tuples,HOT chains are rebuilt on the standby without canceling queries,A
Connection poolers (PgBouncer) in transaction pooling hide session state. Which app pattern silently breaks?,Simple prepared statements that last one transaction.,"Session-level features: SET, temp tables, WITH HOLD cursors, advisory locks you expected to last the HTTP connection.",Read-only queries.,Using a single user role.,B
"During a crash recovery, redo is slow because of a huge uncheckpointed WAL volume after a bulk load with few checkpoints. What is the trade-off you mis-set?",High max_wal_size / checkpoint_timeout reduced checkpoint I/O during the load but lengthened crash recovery,synchronous_commit = off disables redo entirely,full_page_writes = on prevents recovery from using WAL,"HOT updates cannot be redone, so recovery rebuilds indexes from scratch",A
Hash partitioning vs range partitioning for a multi-tenant id. Queries always filter by tenant_id. Why might hash still be the wrong choice at staff scale?,"You cannot drop a tenant by detaching one partition; data for one tenant is scattered, so retention and locality suffer",Hash partitions cannot have indexes,The planner cannot prune hash partitions even with equality on the partition key,HOT updates are impossible on hash partitions,A
"On a huge append-only table, aggressive autovacuum still scans endlessly. What freeze/visibility-map strategy actually reduces that work?",Insert-only vacuum and freezing new pages so the visibility map stays all-visible and future vacuums skip them,Disable freeze because append-only tables never wrap XIDs,Create more btree indexes so vacuum can skip the heap,Set synchronous_commit = off to skip freezing,A
Synchronous replication to a standby in another AZ: commits now wait on the network. A failover-happy load balancer flaps the standby. What failure did you couple into the write path?,None; sync replica loss is ignored until you promote.,Commits stall or fail when the sync standby is unhealthy; you bought durability/availability of the standby into every write's latency SLO.,PostgreSQL automatically falls back to local commits with the same RPO.,The primary buffers sync commits in shared buffers indefinitely.,B
You are choosing between a huge partitioned table with a global unique constraint vs uniqueness in the application. PostgreSQL unique indexes are per partition (unless you include the partition key). What is the real design constraint?,Global uniqueness is free if you use logical replication.,A unique index can only guarantee uniqueness within the index's scope; cross-partition uniqueness needs the partition key in the constraint or an external allocator.,Partitioning always preserves all unique constraints of the parent with no extra columns.,"Unique constraints are enforced by WAL, which is global.",B
You enable checksums after seeing silent corruption on a replica. What operational cost is now permanent?,"Every heap/index page read verifies checksums and writes pay to maintain them, adding CPU; enabling later still requires a rewrite of all files","Checksums replace WAL, so crash recovery is skipped",Checksums only apply when synchronous_commit is off,MVCC visibility is stored in checksums instead of hint bits,A
"You need close-to-zero downtime DDL on a 10 TB table (add a column with a non-constant default, historically). What is the staff-level instinct?",Run it in a transaction on the primary during peak; MVCC makes it instant.,"Treat it as an expand/contract migration: add nullable column, backfill in batches, then constrain — not one blocking rewrite if the version still rewrites.","Logical replication ignores table rewrites, so just ALTER.",Global indexes make any DDL O(1).,B
You need zero-downtime DDL that rewrites a table (type change). Why is CREATE TABLE new + concurrent backfill + swap still hard in PostgreSQL?,"In-flight writes, identity/serial sequences, FK/triggers, and logical replica identity must be dual-written or locked around cutover or rows are lost",PostgreSQL cannot CREATE INDEX CONCURRENTLY on the new table,MVCC prevents INSERT into two tables in one transaction,WAL cannot contain both old and new row formats,A
You observe subtransaction overflow (pg_subtrans) under a PL/pgSQL loop of SAVEPOINTs. What is the failure mode?,"Hint-bit and snapshot checks degrade because subxids no longer fit in the in-memory cache, causing pg_subtrans I/O",WAL is discarded for nested subtransactions,HOT updates are forced for every SAVEPOINT,The backend switches isolation to READ UNCOMMITTED,A
"full_page_writes is on (default). After a checkpoint, the first change to a page writes a full page image. How does this interact with a storage that already does atomic 8K writes?",You still pay WAL amplification to protect against torn pages on typical hardware; turning it off is only safe on systems that guarantee atomic page writes,full_page_writes is redundant with MVCC and can always be off,"full_page_writes only applies to indexes, not heap",Replicas ignore full page images and reconstruct pages from btree,A
hot_standby_feedback = on protects standby queries from replay conflict. What cost does the primary pay?,"Vacuum on the primary cannot remove tuples still needed by standby snapshots, so bloat and wraparound risk grow with long standby queries",The primary disables HOT updates,synchronous_commit is forced to remote_apply,Indexes on the primary cannot be used until feedback ACKs,A
"A data pipeline pickles pandas objects between steps. After a pandas upgrade, workers cannot read old files. What was the architectural mistake?",pandas objects cannot be serialized.,"Pickle is an in-process, version-fragile format; a durable pipeline wants parquet/arrow/json with a schema.",You should have used `eval`.,Pickle is schema-stable across pandas majors.,B
A native C extension allocates GIL-holding work for 50ms per request. How do you get concurrency back?,Add more threads; the GIL will schedule them during the 50ms.,"Release the GIL in the extension around the heavy work, or move it out of process; otherwise threads buy nothing.",asyncio.wait will interleave C code.,Set `PYTHONTHREADSAWARE=1`.,B
A scientific team wants to run a 32-core CPU-bound pipeline in one CPython process with threads. What do you change in the architecture?,Increase thread count to 256.,"Use processes, a native GIL-releasing library, or another runtime; threads will not use the cores for bytecode.",Enable asyncio; it bypasses the GIL for CPU.,The GIL is gone for CPU loops if you `await` them.,B
"A web worker pool + a background thread that mutates a dict without locks. GIL makes this 'safe', right?",Yes; GIL serializes all bytecode so dicts are atomic for any compound update.,No; GIL can interleave bytecode between operations; dict compound updates still need locks or a queue to a single owner thread.,dicts are immutable in CPython.,Only list.append needs a lock.,B
Subinterpreters / free-threading are on the table. What still has to be true of your C extensions?,They are automatically safe because they used the GIL once.,They must be explicit about shared state; many extensions still assume a single interpreter and a GIL.,All PyPI wheels are already free-threaded.,Only the stdlib needs changes; extensions cannot share objects.,B
You must hot-reload code in a long-lived worker. Why is `importlib.reload` a staff-level last resort?,reload cannot fail.,"Old objects, class identities, and singletons survive; you get mixed versions and leaking modules. Prefer rolling new processes.",reload is the same as restarting the interpreter.,CPython forbids reload in production by raising.,B
You must ship a tool to air-gapped machines. What packaging failure mode should you design against?,wheels always contain every manylinux ABI.,"Native deps, implicit system libraries, and 'pip install from PyPI' at runtime; vendoring/lock a compatible wheel set or use a frozen runtime.",CPython binaries are identical across distros.,venv is guaranteed present on all OS images.,B
A 'Redis transaction' across keys in different slots needs:,MULTI/EXEC only,"A different design: hash tags to colocate, an external workflow, or a real database transaction — Cluster will refuse the cross-slot MULTI",RDB snapshot isolation,Pub/Sub as the commit log,B
A cluster slot migration is in progress. Clients must handle:,A frozen keyspace with no errors,ASK/MOVED redirects and transient multi-key failures; treating Redis like a single always-local node will break,Automatic AOF merge across nodes,Synchronous replica promotion of every key,B
A platform team offers Redis as 'multi-tenant durable storage' with one cluster and no key namespaces/limits. What will happen?,Redis ACLs make noisy neighbors impossible.,"One tenant's large keys, KEYS, or unbounded growth will stall or evict everyone; you need isolation (instances), maxmemory policies, and key prefixes with hard quotas.",Cluster slots isolate tenants automatically.,"AOF rewrite is per key, so tenants cannot interact.",B
AOF rewrite and RDB fork at the same time on a memory-tight host. Operational risk?,Slots reshuffle,"Double copy-on-write memory spike, latency stall, or OOM killer — persistence settings are a capacity plan, not just 'on'",Eviction turns into noeviction,Replicas become source of truth,B
Big keys (a million-member hash) hurt more than memory size because:,Cluster cannot hash them,"Many commands become O(N) on the single thread (serialize, expire, replica sync, client output)",AOF cannot log hashes,Eviction skips hashes,B
"Blocking commands (BLPOP, BZPOPMIN) on a shared instance interact with the single thread how?",They run on a second GIL,"They park that client, but a flood of them plus large fanout still competes for the one command loop and output buffers",They force AOF off,They rebalance slots,B
Client-side caching / tracking exists because:,The server thread wants more KEYS calls,Even an in-memory round trip is expensive at huge QPS; local memory with invalidation beats a hot Redis key,AOF becomes optional then,Slots move to the client,B
Hash-slot coverage after a node death: the cluster goes down for those slots unless:,AOF is always fsynced,Replicas exist for that node and failover succeeds; Redis Cluster is not magic extra durability of the data model,Eviction is LRU,Clients retry KEYS,B
"Redis is used as a session store. A replica is promoted after async replication lag. What did users just lose, and what is the staff fix?",Nothing; promotion waits for replicas.,"Recent sessions/writes that never made the replica; either accept RPO, use WAIT/sync replication (latency), or don't put irreplaceable sessions only in Redis.",AOF on the new primary contains the old primary's unsent writes automatically.,Clients reconnect and Redis heals sessions from S3.,B
Serving cache-aside correctly means on write you:,Only SET Redis and trust eviction to notify the DB,Write the database first (or in a defined order) and invalidate/update Redis so the cache cannot resurrect stale truth,KEYS and rewrite all entries,Disable TTL so Redis becomes source of truth,B
Stampede plus a single-threaded Redis plus a slow DB fill is a cascade. A robust refill looks like:,TTL=0 on every key,"One owner refills, others wait or serve stale; optionally jitter TTLs; never let N app servers all reconstruct the same key",Flushall on miss,Disable pipelining during refill,B
Streams with consumer groups beat a naive list queue when:,You need cluster-wide ACID,"You need pending entries, acknowledgements, and replay after a worker crash — still not a durable business ledger by itself",You need strongly consistent GSIs,You want eviction to delete jobs first,B
WAIT or WAITAOF after a write is how you:,Make Redis a multi-primary consensus store,Block until replicas (or AOF) catch up to a durability bar you chose; default writes do not wait,Disable eviction globally,Rebalance slots,B
Why can pipelining + Cluster be wrong if you blindly batch keys?,Pipelines cannot send SET,A pipeline is still per-node; mixed slots must be split by slot or you get CROSSSLOT / extra hops,Pipelines force RDB,Pipelines disable eviction mid-batch as a transaction,B
Why still persist a write to Postgres (or similar) when Redis already SET it?,Postgres is faster,"Redis may evict, lose a replica, or replay an older RDB; the database is the source of truth, Redis is a copy",Cluster slots require SQL,AOF cannot store the same string,B
"You need a distributed lock. Someone uses SET NX without expiry, or with expiry but no fencing token. What bug remains?",None; NX is a correct lock.,"A lock can be held forever, or expire while work continues and a second worker runs — without fencing, both sides mutate the resource.",Redis locks are linearizable if you use WAIT.,Expiry is unnecessary if clients are in the same VPC.,B
You observe p99 spikes every N minutes with no app deploy. A likely Redis cause is:,Cluster slots wrapping at 16384,"Fork-based persistence, large expiry storms, or big-key commands — all block or stall the same thread",Eventually consistent reads,On-demand memory billing,B
A payment service must not lose 'charge then record' if the process dies after HTTP 200 from Stripe. What Spring-centric pattern actually works?,@Transactional around the Stripe SDK call.,"Idempotency key + outbox (record intent, commit, then charge/publish) so crash recovery can finish the work without double-charge.",@Async so the charge happens after response.,XA with Stripe's JDBC driver.,B
Two Boot services share a database and Hibernate entities. Why do staff platform teams fight this?,Hibernate cannot map the same table twice in the world.,"You coupled deployability and schemas: migrations, locks, and incompatible entity changes become a distributed monolith. Split data ownership.",Spring forbids two apps on one JDBC URL.,Connection pools cannot be sized per service.,B
You inherited a monolith Boot app that starts a full context for every integration test. CI is 40 minutes. What is the staff testing strategy?,Only @SpringBootTest; slicing hides bugs.,"Slice tests for web/data, testcontainers for a few contract tests, and a small number of full-context smoke tests — not a full boot per method.",Disable tests in CI to restore speed.,Replace JUnit with main() methods.,B
